




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (3022)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of postsynaptic density assembly (GO:0099151)	12	8	1.74	+	4.60	2.00E-03	4.25E-02
regulation of postsynaptic specialization assembly (GO:0099150)	14	9	2.03	+	4.44	1.27E-03	2.87E-02
regulation of postsynapse assembly (GO:0150052)	14	9	2.03	+	4.44	1.27E-03	2.87E-02
retrograde protein transport, ER to cytosol (GO:0030970)	17	10	2.46	+	4.06	1.13E-03	2.62E-02
endoplasmic reticulum to cytosol transport (GO:1903513)	17	10	2.46	+	4.06	1.13E-03	2.61E-02
glutamate secretion (GO:0014047)	31	18	4.49	+	4.01	1.54E-05	6.25E-04
ribosomal small subunit assembly (GO:0000028)	21	12	3.04	+	3.94	4.48E-04	1.21E-02
axonal fasciculation (GO:0007413)	23	13	3.33	+	3.90	2.83E-04	8.45E-03
neuron projection fasciculation (GO:0106030)	23	13	3.33	+	3.90	2.83E-04	8.43E-03
mRNA splice site selection (GO:0006376)	32	18	4.64	+	3.88	2.12E-05	8.36E-04
alternative mRNA splicing, via spliceosome (GO:0000380)	18	10	2.61	+	3.83	1.56E-03	3.43E-02
protein targeting to ER (GO:0045047)	110	60	15.94	+	3.76	2.67E-14	4.20E-12
establishment of protein localization to endoplasmic reticulum (GO:0072599)	114	62	16.52	+	3.75	1.10E-14	1.84E-12
regulation of synaptic vesicle recycling (GO:1903421)	26	14	3.77	+	3.72	2.43E-04	7.41E-03
negative regulation of mRNA processing (GO:0050686)	32	17	4.64	+	3.67	6.15E-05	2.16E-03
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	23	12	3.33	+	3.60	8.27E-04	2.01E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	50	13.91	+	3.59	1.33E-11	1.50E-09
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	27	14	3.91	+	3.58	3.27E-04	9.41E-03
cotranslational protein targeting to membrane (GO:0006613)	101	52	14.64	+	3.55	7.25E-12	8.42E-10
ionotropic glutamate receptor signaling pathway (GO:0035235)	26	13	3.77	+	3.45	6.89E-04	1.75E-02
protein localization to endoplasmic reticulum (GO:0070972)	141	69	20.44	+	3.38	1.95E-14	3.16E-12
neurotransmitter receptor transport (GO:0099637)	37	18	5.36	+	3.36	9.05E-05	3.02E-03
NADH regeneration (GO:0006735)	27	13	3.91	+	3.32	9.04E-04	2.19E-02
positive regulation of DNA-templated transcription, elongation (GO:0032786)	27	13	3.91	+	3.32	9.04E-04	2.18E-02
negative regulation of RNA splicing (GO:0033119)	27	13	3.91	+	3.32	9.04E-04	2.18E-02
glucose catabolic process to pyruvate (GO:0061718)	27	13	3.91	+	3.32	9.04E-04	2.18E-02
canonical glycolysis (GO:0061621)	27	13	3.91	+	3.32	9.04E-04	2.17E-02
regulation of long-term neuronal synaptic plasticity (GO:0048169)	25	12	3.62	+	3.31	1.44E-03	3.20E-02
cytoplasmic translation (GO:0002181)	75	36	10.87	+	3.31	4.65E-08	3.18E-06
spliceosomal complex assembly (GO:0000245)	57	27	8.26	+	3.27	2.61E-06	1.25E-04
protein localization to postsynaptic membrane (GO:1903539)	34	16	4.93	+	3.25	2.94E-04	8.67E-03
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	49	23	7.10	+	3.24	1.58E-05	6.40E-04
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	56	17.39	+	3.22	2.30E-11	2.42E-09
adult walking behavior (GO:0007628)	30	14	4.35	+	3.22	7.38E-04	1.84E-02
glycolytic process through glucose-6-phosphate (GO:0061620)	28	13	4.06	+	3.20	1.17E-03	2.70E-02
glycolytic process through fructose-6-phosphate (GO:0061615)	28	13	4.06	+	3.20	1.17E-03	2.70E-02
translational initiation (GO:0006413)	144	66	20.87	+	3.16	1.14E-12	1.45E-10
cytoplasmic translational initiation (GO:0002183)	31	14	4.49	+	3.12	9.47E-04	2.26E-02
neuron projection organization (GO:0106027)	40	18	5.80	+	3.10	1.94E-04	6.02E-03
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	22	7.10	+	3.10	4.07E-05	1.50E-03
viral genome replication (GO:0019079)	27	12	3.91	+	3.07	2.39E-03	4.93E-02
neuron recognition (GO:0008038)	50	22	7.25	+	3.04	5.16E-05	1.86E-03
glutamate receptor signaling pathway (GO:0007215)	48	21	6.96	+	3.02	8.08E-05	2.76E-03
walking behavior (GO:0090659)	32	14	4.64	+	3.02	1.21E-03	2.76E-02
regulation of DNA-templated transcription, elongation (GO:0032784)	48	21	6.96	+	3.02	8.08E-05	2.75E-03
regulation of amyloid-beta formation (GO:1902003)	32	14	4.64	+	3.02	1.21E-03	2.75E-02
synaptic vesicle exocytosis (GO:0016079)	64	28	9.28	+	3.02	9.48E-06	4.08E-04
protein localization to postsynapse (GO:0062237)	39	17	5.65	+	3.01	3.88E-04	1.07E-02
viral transcription (GO:0019083)	115	50	16.67	+	3.00	1.94E-09	1.55E-07
membrane depolarization during action potential (GO:0086010)	30	13	4.35	+	2.99	1.91E-03	4.06E-02
axon extension (GO:0048675)	37	16	5.36	+	2.98	6.11E-04	1.60E-02
calcium-ion regulated exocytosis (GO:0017156)	42	18	6.09	+	2.96	3.11E-04	9.10E-03
neurotransmitter secretion (GO:0007269)	105	45	15.22	+	2.96	1.72E-08	1.23E-06
signal release from synapse (GO:0099643)	105	45	15.22	+	2.96	1.72E-08	1.23E-06
regulation of glutamate receptor signaling pathway (GO:1900449)	68	29	9.86	+	2.94	7.69E-06	3.39E-04
regulation of mRNA splicing, via spliceosome (GO:0048024)	115	49	16.67	+	2.94	4.49E-09	3.44E-07
regulation of NMDA receptor activity (GO:2000310)	40	17	5.80	+	2.93	4.89E-04	1.30E-02
regulation of synaptic vesicle cycle (GO:0098693)	118	50	17.10	+	2.92	3.58E-09	2.76E-07
presynaptic endocytosis (GO:0140238)	52	22	7.54	+	2.92	1.26E-04	4.06E-03
synaptic vesicle endocytosis (GO:0048488)	52	22	7.54	+	2.92	1.26E-04	4.05E-03
viral gene expression (GO:0019080)	154	65	22.32	+	2.91	2.27E-11	2.40E-09
regulation of synaptic vesicle exocytosis (GO:2000300)	83	35	12.03	+	2.91	9.15E-07	4.87E-05
NADH metabolic process (GO:0006734)	38	16	5.51	+	2.91	7.68E-04	1.90E-02
glucose catabolic process (GO:0006007)	31	13	4.49	+	2.89	2.40E-03	4.94E-02
regulation of microtubule polymerization (GO:0031113)	53	22	7.68	+	2.86	1.40E-04	4.48E-03
mRNA cis splicing, via spliceosome (GO:0045292)	34	14	4.93	+	2.84	1.90E-03	4.05E-02
vesicle-mediated transport in synapse (GO:0099003)	136	56	19.71	+	2.84	1.08E-09	8.86E-08
regulation of mRNA processing (GO:0050684)	154	63	22.32	+	2.82	1.12E-10	1.08E-08
circadian regulation of gene expression (GO:0032922)	66	27	9.57	+	2.82	2.49E-05	9.62E-04
positive regulation of RNA splicing (GO:0033120)	37	15	5.36	+	2.80	2.37E-03	4.91E-02
