




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (147)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
modulation by symbiont of host defense response (GO:0052031)	8	3	.06	+	53.19	5.32E-05	8.06E-03
response to host defenses (GO:0052200)	11	3	.08	+	38.68	1.16E-04	1.38E-02
response to defenses of other organism (GO:0052173)	11	3	.08	+	38.68	1.16E-04	1.37E-02
response to host (GO:0075136)	11	3	.08	+	38.68	1.16E-04	1.36E-02
positive regulation of histone exchange (GO:1900051)	11	3	.08	+	38.68	1.16E-04	1.35E-02
regulation of histone exchange (GO:1900049)	11	3	.08	+	38.68	1.16E-04	1.34E-02
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	15	3	.11	+	28.37	2.54E-04	2.49E-02
regulation of nitric-oxide synthase biosynthetic process (GO:0051769)	20	4	.14	+	28.37	2.20E-05	4.16E-03
regulation of monocyte chemotactic protein-1 production (GO:0071637)	16	3	.11	+	26.60	3.00E-04	2.82E-02
positive regulation of bone resorption (GO:0045780)	20	3	.14	+	21.28	5.37E-04	4.29E-02
positive regulation of superoxide anion generation (GO:0032930)	20	3	.14	+	21.28	5.37E-04	4.27E-02
positive regulation of bone remodeling (GO:0046852)	20	3	.14	+	21.28	5.37E-04	4.25E-02
respiratory burst (GO:0045730)	21	3	.15	+	20.26	6.11E-04	4.74E-02
positive regulation of tissue remodeling (GO:0034105)	34	4	.24	+	16.69	1.41E-04	1.54E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	11	.68	+	16.25	2.37E-10	3.76E-07
protein targeting to ER (GO:0045047)	110	12	.78	+	15.47	5.91E-11	1.88E-07
cotranslational protein targeting to membrane (GO:0006613)	101	11	.71	+	15.45	3.89E-10	4.76E-07
establishment of protein localization to endoplasmic reticulum (GO:0072599)	114	12	.80	+	14.93	8.65E-11	2.29E-07
protein localization to lysosome (GO:0061462)	41	4	.29	+	13.84	2.75E-04	2.65E-02
viral transcription (GO:0019083)	115	10	.81	+	12.33	1.85E-08	1.47E-05
protein localization to endoplasmic reticulum (GO:0070972)	141	12	.99	+	12.07	8.35E-10	8.30E-07
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	10	.85	+	11.82	2.70E-08	1.87E-05
establishment of protein localization to vacuole (GO:0072666)	52	4	.37	+	10.91	6.38E-04	4.88E-02
translational initiation (GO:0006413)	144	11	1.02	+	10.84	1.24E-08	1.10E-05
positive regulation of cytokine secretion (GO:0050715)	66	5	.47	+	10.75	1.41E-04	1.55E-02
cellular oxidant detoxification (GO:0098869)	94	7	.66	+	10.56	7.09E-06	1.54E-03
viral gene expression (GO:0019080)	154	11	1.09	+	10.13	2.38E-08	1.80E-05
cellular detoxification (GO:1990748)	105	7	.74	+	9.46	1.40E-05	2.89E-03
positive regulation of tumor necrosis factor production (GO:0032760)	92	6	.65	+	9.25	6.59E-05	9.27E-03
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	94	6	.66	+	9.05	7.38E-05	1.01E-02
cellular response to toxic substance (GO:0097237)	113	7	.80	+	8.79	2.20E-05	4.21E-03
protein targeting to membrane (GO:0006612)	183	11	1.29	+	8.53	1.25E-07	5.68E-05
regulation of chemokine production (GO:0032642)	86	5	.61	+	8.25	4.50E-04	3.83E-02
protein targeting (GO:0006605)	371	21	2.62	+	8.03	4.81E-13	7.65E-09
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	6	.79	+	7.60	1.84E-04	1.90E-02
detoxification (GO:0098754)	131	7	.92	+	7.58	5.39E-05	8.08E-03
response to monosaccharide (GO:0034284)	152	8	1.07	+	7.47	1.73E-05	3.49E-03
regulation of tumor necrosis factor production (GO:0032680)	155	8	1.09	+	7.32	1.98E-05	3.89E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	6	.83	+	7.21	2.41E-04	2.39E-02
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	158	8	1.11	+	7.18	2.26E-05	4.18E-03
nuclear-transcribed mRNA catabolic process (GO:0000956)	199	10	1.40	+	7.13	2.23E-06	5.30E-04
mRNA catabolic process (GO:0006402)	219	11	1.54	+	7.12	6.87E-07	2.18E-04
translation (GO:0006412)	393	19	2.77	+	6.86	8.92E-11	2.03E-07
RNA catabolic process (GO:0006401)	251	12	1.77	+	6.78	3.48E-07	1.20E-04
peptide biosynthetic process (GO:0043043)	418	19	2.95	+	6.45	2.42E-10	3.20E-07
establishment of protein localization to organelle (GO:0072594)	450	20	3.17	+	6.30	1.14E-10	2.27E-07
response to carbohydrate (GO:0009743)	181	8	1.28	+	6.27	5.70E-05	8.32E-03
peptide metabolic process (GO:0006518)	538	23	3.79	+	6.06	8.50E-12	4.51E-08
response to glucose (GO:0009749)	142	6	1.00	+	5.99	6.19E-04	4.76E-02
establishment of protein localization to membrane (GO:0090150)	294	12	2.07	+	5.79	1.72E-06	4.27E-04
positive regulation of peptide secretion (GO:0002793)	229	9	1.61	+	5.57	4.71E-05	7.56E-03
positive regulation of protein secretion (GO:0050714)	206	8	1.45	+	5.51	1.35E-04	1.51E-02
positive regulation of secretion (GO:0051047)	378	14	2.66	+	5.25	6.97E-07	2.17E-04
rRNA metabolic process (GO:0016072)	270	10	1.90	+	5.25	2.89E-05	5.05E-03
amide biosynthetic process (GO:0043604)	545	20	3.84	+	5.21	2.79E-09	2.61E-06
positive regulation of DNA-binding transcription factor activity (GO:0051091)	275	10	1.94	+	5.16	3.36E-05	5.62E-03
