




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (188)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
peptide antigen assembly with MHC class II protein complex (GO:0002503)	4	4	.04	+	 > 100	4.20E-07	3.89E-05
MHC class II protein complex assembly (GO:0002399)	4	4	.04	+	 > 100	4.20E-07	3.86E-05
positive regulation of macrophage migration inhibitory factor signaling pathway (GO:2000448)	2	2	.02	+	 > 100	4.71E-04	1.54E-02
negative regulation of polynucleotide adenylyltransferase activity (GO:1904246)	2	2	.02	+	 > 100	4.71E-04	1.54E-02
peptide antigen assembly with MHC protein complex (GO:0002501)	6	4	.05	+	73.94	1.24E-06	1.02E-04
antigen processing and presentation of exogenous peptide antigen via MHC class Ib (GO:0002477)	3	2	.03	+	73.94	7.80E-04	2.30E-02
positive regulation of type IIa hypersensitivity (GO:0001798)	3	2	.03	+	73.94	7.80E-04	2.30E-02
regulation of macrophage migration inhibitory factor signaling pathway (GO:2000446)	3	2	.03	+	73.94	7.80E-04	2.29E-02
regulation of polynucleotide adenylyltransferase activity (GO:1904245)	3	2	.03	+	73.94	7.80E-04	2.29E-02
positive regulation of type II hypersensitivity (GO:0002894)	3	2	.03	+	73.94	7.80E-04	2.28E-02
regulation of neurofibrillary tangle assembly (GO:1902996)	3	2	.03	+	73.94	7.80E-04	2.28E-02
MHC protein complex assembly (GO:0002396)	7	4	.06	+	63.38	1.94E-06	1.50E-04
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)	9	5	.08	+	61.62	1.01E-07	1.10E-05
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	8	4	.07	+	55.45	2.89E-06	2.13E-04
