




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (4575)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of microtubule polymerization (GO:0031115)	13	11	2.85	+	3.86	1.56E-03	3.08E-02
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	23	19	5.05	+	3.76	4.27E-05	1.32E-03
negative regulation of RNA splicing (GO:0033119)	27	22	5.92	+	3.71	1.26E-05	4.51E-04
viral translation (GO:0019081)	18	14	3.95	+	3.54	6.57E-04	1.47E-02
clathrin coat assembly (GO:0048268)	18	14	3.95	+	3.54	6.57E-04	1.47E-02
mRNA splice site selection (GO:0006376)	32	24	7.02	+	3.42	1.36E-05	4.83E-04
protein refolding (GO:0042026)	19	14	4.17	+	3.36	9.54E-04	2.03E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	114	82	25.01	+	3.28	6.10E-15	8.22E-13
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	69	21.06	+	3.28	1.00E-12	1.05E-10
protein targeting to ER (GO:0045047)	110	79	24.14	+	3.27	2.05E-14	2.61E-12
cotranslational protein targeting to membrane (GO:0006613)	101	72	22.16	+	3.25	3.83E-13	4.26E-11
negative regulation of mRNA processing (GO:0050686)	32	22	7.02	+	3.13	1.00E-04	2.79E-03
glutamate secretion (GO:0014047)	31	21	6.80	+	3.09	1.64E-04	4.35E-03
translational initiation (GO:0006413)	144	96	31.60	+	3.04	1.49E-15	2.20E-13
protein localization to endoplasmic reticulum (GO:0070972)	141	94	30.94	+	3.04	1.93E-15	2.81E-13
protein N-linked glycosylation via asparagine (GO:0018279)	30	20	6.58	+	3.04	2.68E-04	6.73E-03
spliceosomal complex assembly (GO:0000245)	57	38	12.51	+	3.04	5.46E-07	2.75E-05
viral transcription (GO:0019083)	115	76	25.23	+	3.01	1.59E-12	1.64E-10
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	79	26.33	+	3.00	5.90E-13	6.33E-11
regulation of synaptic vesicle recycling (GO:1903421)	26	17	5.70	+	2.98	9.46E-04	2.02E-02
peptidyl-asparagine modification (GO:0018196)	31	20	6.80	+	2.94	3.40E-04	8.33E-03
ER-nucleus signaling pathway (GO:0006984)	38	24	8.34	+	2.88	1.65E-04	4.37E-03
cytoplasmic translation (GO:0002181)	75	47	16.46	+	2.86	8.35E-08	5.03E-06
regulation of mRNA splicing, via spliceosome (GO:0048024)	115	72	25.23	+	2.85	3.76E-11	3.46E-09
mitochondrial calcium ion transmembrane transport (GO:0006851)	24	15	5.27	+	2.85	2.53E-03	4.58E-02
protein alpha-1,2-demannosylation (GO:0036508)	24	15	5.27	+	2.85	2.53E-03	4.57E-02
protein demannosylation (GO:0036507)	24	15	5.27	+	2.85	2.53E-03	4.57E-02
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	77	48	16.89	+	2.84	6.58E-08	3.98E-06
neurotransmitter receptor transport (GO:0099637)	37	23	8.12	+	2.83	2.58E-04	6.52E-03
viral gene expression (GO:0019080)	154	95	33.79	+	2.81	5.25E-14	6.48E-12
regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	30	18	6.58	+	2.73	1.18E-03	2.43E-02
regulation of RNA splicing (GO:0043484)	158	94	34.67	+	2.71	3.23E-13	3.64E-11
positive regulation of RNA splicing (GO:0033120)	37	22	8.12	+	2.71	4.70E-04	1.10E-02
protein deglycosylation (GO:0006517)	32	19	7.02	+	2.71	1.38E-03	2.76E-02
NADH regeneration (GO:0006735)	27	16	5.92	+	2.70	2.45E-03	4.48E-02
establishment of mitochondrion localization (GO:0051654)	27	16	5.92	+	2.70	2.45E-03	4.48E-02
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	27	16	5.92	+	2.70	2.45E-03	4.47E-02
glucose catabolic process to pyruvate (GO:0061718)	27	16	5.92	+	2.70	2.45E-03	4.47E-02
canonical glycolysis (GO:0061621)	27	16	5.92	+	2.70	2.45E-03	4.46E-02
regulation of microtubule polymerization (GO:0031113)	53	31	11.63	+	2.67	4.17E-05	1.29E-03
regulation of autophagosome assembly (GO:2000785)	38	22	8.34	+	2.64	5.62E-04	1.28E-02
synaptic vesicle exocytosis (GO:0016079)	64	37	14.04	+	2.63	1.07E-05	3.97E-04
acidic amino acid transport (GO:0015800)	52	30	11.41	+	2.63	6.52E-05	1.92E-03
nuclear-transcribed mRNA catabolic process (GO:0000956)	199	114	43.66	+	2.61	9.13E-15	1.21E-12
'de novo' protein folding (GO:0006458)	42	24	9.22	+	2.60	3.36E-04	8.22E-03
regulation of cholesterol biosynthetic process (GO:0045540)	44	25	9.65	+	2.59	3.90E-04	9.38E-03
regulation of sterol biosynthetic process (GO:0106118)	44	25	9.65	+	2.59	3.90E-04	9.37E-03
mRNA cis splicing, via spliceosome (GO:0045292)	34	19	7.46	+	2.55	1.86E-03	3.55E-02
selective autophagy (GO:0061912)	56	31	12.29	+	2.52	1.09E-04	3.02E-03
regulation of dendritic spine morphogenesis (GO:0061001)	47	26	10.31	+	2.52	3.28E-04	8.06E-03
'de novo' posttranslational protein folding (GO:0051084)	38	21	8.34	+	2.52	1.09E-03	2.27E-02
mRNA catabolic process (GO:0006402)	219	121	48.05	+	2.52	7.45E-15	9.95E-13
regulation of mRNA processing (GO:0050684)	154	85	33.79	+	2.52	8.46E-11	7.43E-09
endosome to lysosome transport (GO:0008333)	53	29	11.63	+	2.49	2.28E-04	5.83E-03
protein targeting to membrane (GO:0006612)	183	99	40.15	+	2.47	7.09E-12	6.83E-10
axon extension (GO:0048675)	37	20	8.12	+	2.46	2.66E-03	4.78E-02
protein depolymerization (GO:0051261)	37	20	8.12	+	2.46	2.66E-03	4.78E-02
axo-dendritic transport (GO:0008088)	67	36	14.70	+	2.45	4.57E-05	1.41E-03
axonal transport (GO:0098930)	56	30	12.29	+	2.44	1.86E-04	4.87E-03
regulation of autophagy of mitochondrion (GO:1903146)	43	23	9.43	+	2.44	1.05E-03	2.21E-02
regulation of synaptic vesicle cycle (GO:0098693)	118	63	25.89	+	2.43	5.41E-08	3.31E-06
regulation of synaptic vesicle exocytosis (GO:2000300)	83	44	18.21	+	2.42	7.05E-06	2.76E-04
receptor localization to synapse (GO:0097120)	42	22	9.22	+	2.39	1.61E-03	3.16E-02
positive regulation of dendritic spine development (GO:0060999)	44	23	9.65	+	2.38	1.22E-03	2.51E-02
vesicle transport along microtubule (GO:0047496)	46	24	10.09	+	2.38	9.38E-04	2.01E-02
regulation of vacuole organization (GO:0044088)	48	25	10.53	+	2.37	1.06E-03	2.22E-02
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	50	26	10.97	+	2.37	7.76E-04	1.69E-02
membrane depolarization (GO:0051899)	52	27	11.41	+	2.37	5.76E-04	1.30E-02
presynaptic endocytosis (GO:0140238)	52	27	11.41	+	2.37	5.76E-04	1.30E-02
synaptic vesicle endocytosis (GO:0048488)	52	27	11.41	+	2.37	5.76E-04	1.30E-02
RNA catabolic process (GO:0006401)	251	130	55.07	+	2.36	3.01E-14	3.77E-12
negative regulation of mRNA metabolic process (GO:1903312)	89	46	19.53	+	2.36	7.83E-06	3.02E-04
regulation of dendrite morphogenesis (GO:0048814)	95	49	20.84	+	2.35	3.45E-06	1.48E-04
neuron projection extension (GO:1990138)	66	34	14.48	+	2.35	1.18E-04	3.21E-03
COPII-coated vesicle budding (GO:0090114)	70	36	15.36	+	2.34	6.91E-05	2.02E-03
vesicle targeting, to, from or within Golgi (GO:0048199)	70	36	15.36	+	2.34	6.91E-05	2.02E-03
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	40	17.11	+	2.34	3.22E-05	1.04E-03
regulation of dendritic spine development (GO:0060998)	78	40	17.11	+	2.34	3.22E-05	1.04E-03
organelle transport along microtubule (GO:0072384)	80	41	17.55	+	2.34	2.46E-05	8.15E-04
anterograde axonal transport (GO:0008089)	45	23	9.87	+	2.33	2.18E-03	4.08E-02
lysosomal transport (GO:0007041)	108	55	23.70	+	2.32	1.61E-06	7.31E-05
positive regulation of ATPase activity (GO:0032781)	55	28	12.07	+	2.32	5.04E-04	1.17E-02
IRE1-mediated unfolded protein response (GO:0036498)	55	28	12.07	+	2.32	5.04E-04	1.16E-02
modulation by symbiont of host process (GO:0044003)	55	28	12.07	+	2.32	5.04E-04	1.16E-02
regulation of neurotransmitter secretion (GO:0046928)	110	56	24.14	+	2.32	1.19E-06	5.60E-05
chaperone-mediated protein folding (GO:0061077)	59	30	12.95	+	2.32	4.22E-04	1.00E-02
vesicle coating (GO:0006901)	67	34	14.70	+	2.31	1.36E-04	3.69E-03
mitochondrial transmembrane transport (GO:1990542)	97	49	21.28	+	2.30	6.39E-06	2.52E-04
regulation of neurotransmitter transport (GO:0051588)	125	63	27.43	+	2.30	2.83E-07	1.51E-05
Golgi vesicle budding (GO:0048194)	78	39	17.11	+	2.28	5.64E-05	1.70E-03
substantia nigra development (GO:0021762)	46	23	10.09	+	2.28	2.37E-03	4.37E-02
inner mitochondrial membrane organization (GO:0007007)	50	25	10.97	+	2.28	1.32E-03	2.67E-02
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	56	24.57	+	2.28	1.53E-06	7.01E-05
synaptic vesicle recycling (GO:0036465)	60	30	13.16	+	2.28	4.68E-04	1.10E-02
establishment of protein localization to vacuole (GO:0072666)	52	26	11.41	+	2.28	1.00E-03	2.13E-02
neuron recognition (GO:0008038)	50	25	10.97	+	2.28	1.32E-03	2.67E-02
mRNA splicing, via spliceosome (GO:0000398)	303	151	66.48	+	2.27	2.92E-15	4.15E-13
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	151	66.48	+	2.27	2.92E-15	4.12E-13
transport along microtubule (GO:0010970)	157	78	34.45	+	2.26	1.76E-08	1.15E-06
RNA splicing, via transesterification reactions (GO:0000375)	306	152	67.14	+	2.26	3.52E-15	4.87E-13
vacuolar transport (GO:0007034)	149	74	32.69	+	2.26	5.43E-08	3.30E-06
neurotransmitter secretion (GO:0007269)	105	52	23.04	+	2.26	5.12E-06	2.11E-04
signal release from synapse (GO:0099643)	105	52	23.04	+	2.26	5.12E-06	2.11E-04
regulation of cellular response to heat (GO:1900034)	79	39	17.33	+	2.25	9.09E-05	2.56E-03
COPII vesicle coating (GO:0048208)	63	31	13.82	+	2.24	4.06E-04	9.72E-03
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	63	31	13.82	+	2.24	4.06E-04	9.70E-03
RNA splicing (GO:0008380)	407	200	89.30	+	2.24	2.92E-19	6.55E-17
translation (GO:0006412)	393	193	86.23	+	2.24	1.40E-18	2.90E-16
protein targeting to mitochondrion (GO:0006626)	55	27	12.07	+	2.24	1.25E-03	2.55E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	104	51	22.82	+	2.23	7.54E-06	2.93E-04
