"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ckb",0,1.40016634056299,0.899,0.716,0
"pde6a",0,1.37528146631492,0.919,0.62,0
"bicdl1",0,-0.945835493983934,0,0.2,0
"gm11961",0,-0.951836551845317,0,0.195,0
"atp5o.1",0,-0.96824636116666,0,0.188,0
"klc3",0,-0.977154630520298,0.003,0.198,0
"susd3",0,-0.978710936094203,0.012,0.255,0
"selenok",0,-0.99955521465677,0,0.207,0
"zfp638",0,-0.999950748486935,0,0.177,0
"pla2g7",0,-1.00084193442575,0,0.205,0
"slc31a2",0,-1.00897918587749,0.012,0.258,0
"eif2s3y",0,-1.031877593455,0,0.203,0
"eef1g",0,-1.05231238711814,0.001,0.211,0
"ccdc126",0,-1.0535982248517,0.013,0.276,0
"nxnl2",0,-1.06889287057261,0.001,0.221,0
"khdrbs3",0,-1.07585203963732,0.011,0.251,0
"zfp644",0,-1.09154062972494,0,0.221,0
"d1ertd622e",0,-1.09494096471872,0,0.218,0
"4932438a13rik",0,-1.10006547765879,0,0.225,0
"fscn2",0,-1.10716521257602,0.026,0.317,0
"plk5",0,-1.11178741185729,0.001,0.219,0
"bc027072",0,-1.12154327989039,0,0.229,0
"tnfsf12",0,-1.12291898893644,0.001,0.251,0
"hif1a",0,-1.15474881873525,0.058,0.438,0
"selenof",0,-1.1572004470909,0,0.233,0
"araf",0,-1.15777396071086,0.01,0.258,0
"hist3h2ba",0,-1.15874273252214,0,0.217,0
"elob",0,-1.17932529312735,0,0.232,0
"purb",0,-1.19923677032031,0.06,0.43,0
"ssbp4",0,-1.20310577502987,0.016,0.341,0
"nedd4",0,-1.21872575959647,0.007,0.279,0
"fam193b",0,-1.22113388853889,0.013,0.277,0
"gm48551",0,-1.22823478685952,0,0.262,0
"pea15a",0,-1.250073386185,0,0.244,0
"rabgef1",0,-1.25774945729786,0.022,0.371,0
"tulp1",0,-1.26051052863976,0.303,0.853,0
"mtcl1",0,-1.27421504899824,0,0.249,0
"matr3",0,-1.27991613565273,0.001,0.283,0
"zfp445",0,-1.28285721270312,0,0.255,0
"tubb5",0,-1.28681105055831,0,0.269,0
"pla2r1",0,-1.28918220904048,0.001,0.272,0
"2010107e04rik",0,-1.31806953597537,0,0.274,0
"ac149090.1",0,-1.3193414845314,0,0.221,0
"bc005537",0,-1.35227626774062,0,0.285,0
"ebpl",0,-1.35914607802132,0.008,0.318,0
"a930003a15rik",0,-1.36442237720684,0,0.303,0
"aldoa",0,-1.3809409005098,0.206,0.716,0
"ai847159",0,-1.39152669381694,0,0.307,0
"hist3h2a",0,-1.39367615437055,0.007,0.325,0
"rack1",0,-1.39844554799367,0,0.291,0
"cers4",0,-1.4062975770308,0.032,0.415,0
"mtdh",0,-1.42670874845254,0,0.299,0
"hist1h2bc",0,-1.43429281052591,0.005,0.31,0
"atp5k",0,-1.44705568122355,0,0.301,0
"pdzph1",0,-1.46842288942388,0,0.318,0
"st8sia1",0,-1.48684831439275,0.002,0.318,0
"sgk1",0,-1.52778854075612,0.032,0.429,0
"snhg20",0,-1.52967070151775,0,0.339,0
"glul",0,-1.55236530750993,0.088,0.57,0
"1700020i14rik",0,-1.56737227220809,0,0.347,0
"dnm1",0,-1.58348631314591,0.079,0.622,0
"pex5l",0,-1.61276005771863,0.007,0.4,0
"gucy2e",0,-1.64277226982872,0,0.374,0
"ftl1",0,-1.67000176585506,0,0.308,0
"zfp385a",0,-1.68036597048864,0,0.379,0
"selenow",0,-1.70762460958345,0,0.373,0
"gpi1",0,-1.71516964196551,0,0.41,0
"rpgrip1",0,-1.7529866042965,0.117,0.661,0
"e130218i03rik",0,-1.76518546220144,0,0.411,0
"car2",0,-1.77936080044813,0,0.395,0
"platr17",0,-1.78934195485518,0,0.369,0
"meg3",0,-1.80638801462715,0.017,0.385,0
"snhg11",0,-1.81981179045825,0,0.342,0
"rps3a1",0,-1.82801803853563,0,0.398,0
"mt-nd6",0,-1.97000979346396,0,0.366,0
"guca1b",0,-2.03587841221109,0.061,0.566,0
"vtn",0,-2.08626569967746,0.039,0.624,0
"mgarp",0,-2.24678395425839,0.019,0.666,0
"lars2",0,-2.28242854702598,0.005,0.584,0
"vax2os",0,-2.31684893878805,0,0.451,0
"mir124a-1hg",0,-2.42452588436305,0,0.517,0
"cst3",0,-2.53285584822558,0.02,0.629,0
"ay036118",0,-3.04809398611648,0,0.844,0
"mt-nd3",0,-3.78718704593058,0,0.91,0
"mt-co1",0,-4.49725347244392,0,0.987,0
"mt-nd5",0,-4.53563302427048,0,0.987,0
"mt-nd1",0,-5.44475962334947,0,0.999,0
"mt-nd4",0,-5.53360145187512,0,1,0
"mt-nd2",0,-5.62181491727133,0,1,0
"malat1",0,-5.7604627912474,0,0.982,0
"gm42418",0,-6.09062260254731,0,1,0
"mt-cytb",0,-6.66065514386276,0,1,0
"cops9",5.94418703740556e-308,-0.939029049845909,0,0.176,1.41269549130981e-303
"zfp444",5.94418951891051e-308,-0.897064242869278,0,0.176,1.41269608106427e-303
"ckmt1",5.32558902206883e-305,-0.855071360354039,0,0.174,1.26567948698488e-300
"nim1k",2.17577735315962e-304,-0.918449820407018,0.007,0.223,5.17095245751915e-300
"zfp207",1.59229109193005e-303,-0.890215059831733,0,0.173,3.78423900908096e-299
"hk2",3.7099829953163e-302,-1.17060072596899,0.045,0.376,8.81714558666872e-298
"d16ertd472e",4.23697722596157e-299,-0.886206745736933,0,0.171,1.00696000752203e-294
"zfp292",1.26306125137388e-297,-0.911606055722573,0,0.17,3.00179137001517e-293
"rapgef5",2.88613880877204e-296,-0.928883657562391,0.002,0.182,6.85919749292762e-292
"nop53",1.11994627847199e-294,-0.911031250300978,0,0.168,2.66166432541652e-290
"d8ertd738e",3.33120801930175e-293,-0.885632102579459,0,0.167,7.91694897867254e-289
"ntm",9.47574771818644e-291,2.08518948918161,0.744,0.279,2.25200620270419e-286
"trir",7.67032539246827e-286,-0.870783531771113,0,0.163,1.82292953277401e-281
"gm19667",1.73387834279638e-278,-0.849229405539903,0,0.159,4.12073526948989e-274
"adipor1",9.49816719987032e-278,-1.16159516492915,0.063,0.41,2.25733441672118e-273
"ahi1",1.03306606172981e-277,1.94949750184821,0.756,0.367,2.45518480230706e-273
"3222401l13rik",5.11563969828655e-277,-0.787628768549833,0,0.158,1.21578293069478e-272
"cdk2ap2",3.48185067560878e-274,-1.05723202120851,0.031,0.307,8.27496631565182e-270
"fyco1",3.31875916041438e-273,-1.00789436366535,0.042,0.352,7.88736302064081e-269
"bod1l",1.30806096622736e-272,-0.94352483608037,0,0.156,3.10873769233593e-268
"grk1",1.21938579882069e-271,-1.13143632686694,0.092,0.491,2.89799228947725e-267
"gckr",3.84797520376222e-271,-0.984701134503839,0,0.155,9.14509786926129e-267
"snrnp70",1.07102971954496e-270,-1.02367860665962,0.108,0.538,2.54540923147054e-266
"akap9",4.23450794705601e-267,2.01770384361661,0.711,0.267,1.00637315869733e-262
"hprt",2.86062455898679e-265,-0.81656090271391,0,0.152,6.798560326888e-261
"rncr4",2.86062503364547e-265,-0.859124789394039,0,0.152,6.79856145496182e-261
"supt5",8.38439392592884e-264,-0.873469245193085,0,0.151,1.99263506043625e-259
"d430042o09rik",2.45563670950099e-262,-0.759871367881544,0,0.15,5.83606620380006e-258
"bc031181",2.4556377277029e-262,-0.746210119739277,0,0.15,5.8360686236587e-258
"fam57b",3.09366556706959e-262,-1.05163075268894,0.193,0.682,7.35240558669759e-258
"amy1",7.18684830701848e-261,-0.879132423895168,0,0.149,1.70802636864601e-256
"hsp90aa1",3.94987363129513e-260,1.34836410137742,0.857,0.645,9.38726967213601e-256
"tmem167",6.14233914523055e-258,-0.773273830088419,0,0.148,1.45978832125549e-253
"agpat5",4.96887283762444e-255,-0.869278086343051,0.01,0.209,1.18090231858983e-250
"nrl",5.45507235114986e-255,1.28145829511486,0.862,0.664,1.29645249497428e-250
"grina",1.35337896909135e-254,-1.00078988601326,0.098,0.49,3.21644045794249e-250
"edc4",2.13654551603752e-254,-1.02036076268504,0.001,0.157,5.07771407341477e-250
"tspoap1",1.52631560054641e-253,-0.908018022578341,0,0.145,3.62744165625861e-249
"trafd1",9.05388665216585e-253,-0.876253842308517,0.011,0.213,2.15174670175374e-248
"zfp106",4.44746999465504e-252,-0.844799071657627,0,0.144,1.05698571892972e-247
"spata1",4.44747073116795e-252,-0.733081370697772,0,0.144,1.05698589396938e-247
"ac110166.1",4.44747073116795e-252,-0.743719942697659,0,0.144,1.05698589396938e-247
"trim2",3.05924174716679e-251,-1.02710249684719,0.018,0.245,7.27059393631659e-247
"rnf207",1.01650949471091e-250,-1.00272679180936,0.019,0.25,2.41583646512995e-246
"5031425e22rik",1.29498566582961e-250,-0.738114646748718,0,0.143,3.07766293341064e-246
"0610009b22rik",9.24068771856811e-245,-0.704888607081418,0,0.14,2.1961418431949e-240
"d5ertd579e",9.24068848287731e-245,-0.788725454755726,0,0.14,2.19614202484062e-240
