"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"neat1",0,3.10443896649693,0.781,0.066,0
"1700020i14rik",0,-1.17420504377313,0,0.408,0
"rack1",0,-1.19498017587717,0,0.421,0
"rit2",0,-1.21099510682478,0.001,0.43,0
"fyco1",0,-1.24855165142011,0.034,0.532,0
"5330434g04rik",0,-1.24888754661489,0,0.413,0
"bc005537",0,-1.30157971477014,0,0.427,0
"mtch1",0,-1.31038463679678,0,0.456,0
"araf",0,-1.31519234664915,0.014,0.491,0
"elob",0,-1.3233392087445,0,0.429,0
"selenom",0,-1.32928609032471,0,0.476,0
"tubb5",0,-1.34403083001963,0,0.43,0
"klc3",0,-1.38210332245884,0.002,0.489,0
"pea15a",0,-1.42058846790964,0,0.497,0
"purb",0,-1.47763265641714,0.143,0.767,0
"a230057d06rik",0,-1.48542856051313,0,0.438,0
"atp5k",0,-1.49519748090104,0,0.488,0
"matr3",0,-1.50972355532961,0.005,0.543,0
"plk5",0,-1.52762162664562,0.006,0.555,0
"4930447c04rik",0,-1.53049521813624,0,0.445,0
"cers4",0,-1.53120695696553,0.066,0.673,0
"hist3h2ba",0,-1.5384691293864,0,0.45,0
"car10",0,-1.54410416224609,0,0.514,0
"snhg20",0,-1.67222726928677,0,0.588,0
"sphkap",0,-1.67479888036925,0.013,0.494,0
"nedd4",0,-1.6914772400916,0.001,0.566,0
"ftl1",0,-1.74980690520752,0,0.527,0
"c130073e24rik",0,-1.75092435598874,0,0.442,0
"rps3a1",0,-1.75291060448512,0,0.484,0
"2010107e04rik",0,-1.77156571066385,0,0.42,0
"e130218i03rik",0,-1.81646464707224,0,0.533,0
"c230004f18rik",0,-1.82913278724584,0,0.431,0
"zfp385a",0,-1.83559682736692,0,0.622,0
"selenow",0,-1.83996989225854,0,0.591,0
"mir124a-1hg",0,-1.86436496464666,0,0.594,0
"mtcl1",0,-1.8704841730148,0,0.643,0
"gm4792",0,-1.90781296004338,0,0.538,0
"mt-nd6",0,-1.93722111871324,0,0.559,0
"car2",0,-2.02203266551331,0,0.595,0
"snhg11",0,-2.02746861497433,0,0.552,0
"gpi1",0,-2.10061859849184,0,0.684,0
"ac149090.1",0,-2.12878292280469,0,0.746,0
"lars2",0,-2.13021076605971,0.013,0.68,0
"mgarp",0,-2.25469944077646,0.271,0.846,0
"pfkp",0,-2.35390569547466,0.09,0.897,0
"bc030499",0,-2.38956335475756,0,0.749,0
"ay036118",0,-2.8184497325985,0,0.893,0
