"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"tf",0,5.08480420840185,0.961,0,0
"spp1",0,3.8725719752308,0.844,0.003,0
"crabp1",0,3.85269629167207,0.872,0.028,0
"gpx3",0,3.72066749436018,0.864,0.054,0
"ftl",0,3.66815371848037,0.874,0,0
"actg1",0,3.63373960690519,0.904,0.027,0
"wif1",0,3.61708593805971,0.824,0,0
"rps3a",0,3.10648660301971,0.804,0,0
"ca2",0,2.9206998392747,0.735,0,0
"c1orf61",0,2.88886420247063,0.749,0,0
"hist1h4c",0,2.84688766165522,0.794,0.002,0
"fabp7",0,2.8162267016352,0.727,0.002,0
"frzb",0,2.77796377301225,0.879,0.261,0
"ptgds",0,2.65321597937253,0.897,0.189,0
"rgr",0,2.62158577740484,0.743,0.059,0
"vim",0,2.39347155438474,0.966,0.576,0
"skp1",0,2.34363941209566,0.666,0,0
"ppa1",0,2.33779965720114,0.736,0.085,0
"pebp1",0,2.23736377440376,0.818,0.187,0
"rpl13a",0,2.22658517522851,0.804,0.147,0
"rpl15",0,2.03399898811652,0.785,0.18,0
"calm2",0,1.72644088140604,0.812,0.381,0
"ptma",0,1.67681230140734,0.867,0.439,0
"gapdh",0,1.61025700901103,0.955,0.67,0
"h3f3b",0,1.40460539543587,0.904,0.543,0
"1110004f10rik",0,-1.0204101358955,0,0.253,0
"sem1",0,-1.0684170629251,0,0.254,0
"mmd2",0,-1.10822977063635,0.008,0.291,0
"h2-k1",0,-1.11639720773798,0,0.269,0
"gpi1",0,-1.11717923564845,0,0.258,0
"zfp467",0,-1.1247573246691,0,0.26,0
"d8ertd738e",0,-1.1414692742241,0,0.27,0
"gstt1",0,-1.14250871176808,0,0.28,0
"selenok",0,-1.1832904596241,0,0.298,0
"abca8b",0,-1.19296713091876,0,0.294,0
"bc031181",0,-1.2037895806844,0,0.303,0
"rgs6",0,-1.21760425062928,0,0.311,0
"bcat1",0,-1.24303388424572,0.015,0.34,0
"cops9",0,-1.27113179774208,0,0.266,0
"matr3",0,-1.27731390896019,0.002,0.322,0
"snhg20",0,-1.28192240139432,0,0.317,0
"erbin",0,-1.28285644347783,0,0.272,0
"hist3h2ba",0,-1.28916509758294,0,0.297,0
"a730017c20rik",0,-1.31045581500405,0,0.306,0
"2010107e04rik",0,-1.31228511572917,0,0.304,0
"mt3",0,-1.31530735744436,0,0.289,0
"eef1g",0,-1.32808909515271,0.002,0.307,0
"snhg11",0,-1.41441288175502,0,0.297,0
"ac149090.1",0,-1.41543939494113,0,0.338,0
"tubb5",0,-1.42514619236623,0,0.354,0
"gabarap",0,-1.43652083712899,0.033,0.393,0
"selenom",0,-1.47682968180767,0,0.382,0
"rack1",0,-1.47964700695266,0,0.348,0
"qk",0,-1.50729308801791,0,0.379,0
"nedd4",0,-1.53088105653161,0.028,0.417,0
"fam159b",0,-1.53792475929364,0,0.349,0
"khdrbs3",0,-1.54794748496044,0.017,0.426,0
"trf",0,-1.55937711216713,0,0.295,0
"atp5k",0,-1.57515855114397,0,0.388,0
"mt-nd6",0,-1.61369632541258,0,0.336,0
"hist1h2bc",0,-1.65161230413258,0.01,0.417,0
"1810037i17rik",0,-1.67946098771666,0,0.41,0
"mif",0,-1.81759783101422,0.116,0.596,0
"selenof",0,-1.83319596232015,0,0.468,0
"epha5",0,-1.83923443818146,0.021,0.412,0
"elob",0,-1.85295156510288,0,0.465,0
"pea15a",0,-1.87334349927124,0,0.461,0
"car14",0,-1.89394462770604,0,0.422,0
"utp14b",0,-1.91106544402197,0,0.421,0
"dnm1",0,-1.91775444856241,0.024,0.5,0
"lars2",0,-1.95277155671475,0.014,0.48,0
"mgarp",0,-1.95338036424849,0.548,0.929,0
"slc1a2",0,-2.04253851499548,0.027,0.517,0
"scd2",0,-2.0563295796865,0,0.511,0
"cox4i2",0,-2.11449568724137,0.007,0.549,0
"mt1",0,-2.16597452226191,0,0.489,0
"e130218i03rik",0,-2.23823263292662,0,0.607,0
"selenow",0,-2.35087956648307,0,0.607,0
"abca8a",0,-2.37751561311237,0,0.537,0
"sparc",0,-2.39547222764934,0.029,0.577,0
"rps3a1",0,-2.54647230439338,0,0.602,0
"ay036118",0,-2.71609686619017,0,0.759,0
"car2",0,-2.76855878713803,0,0.681,0
"spc25",0,-2.83464156511009,0.045,0.733,0
"ftl1",0,-2.88918144715391,0,0.763,0
"mt-nd3",0,-3.56915273998515,0,0.924,0
"mt-co1",0,-4.26672610968633,0,0.988,0
"mt-nd5",0,-4.29534472011933,0,0.99,0
"mt-nd1",0,-5.18512979846241,0,0.999,0
"mt-nd4",0,-5.21301108497492,0,1,0
"mt-nd2",0,-5.6542620098326,0,1,0
"gm42418",0,-5.78802762859076,0,1,0
"malat1",0,-5.82768181249678,0,0.958,0
"mt-cytb",0,-6.25777666501971,0,1,0
"linc00844",9.1414515647144e-307,2.47353166273263,0.642,0,2.17255737887002e-302
"bex3",2.42059839881061e-304,-1.08041871544299,0,0.249,5.75279415461331e-300
"2410015m20rik",2.42059972283199e-304,-1.08645261971286,0,0.249,5.7527973012825e-300
"trdn",4.45446815277363e-303,2.45889593768169,0.638,0,1.05864890118818e-298
"4930402h24rik",2.66881986277106e-302,-1.13430796256096,0,0.248,6.3427172858617e-298
"e130114p18rik",2.7993280460637e-301,-1.05681575549113,0,0.247,6.65288303427498e-297
"cirbp",3.92628903698444e-298,1.55864032581776,0.805,0.318,9.33121852529723e-294
"il33",1.08204329864793e-297,-1.44657516229835,0.031,0.364,2.57158410356666e-293
"gm1673",3.36440195770252e-297,-1.07135384074579,0,0.244,7.99583769267582e-293
"mtch1",3.99789150191603e-293,-1.03328267450614,0,0.241,9.50138894345365e-289
"mlc1",1.07082561829119e-292,-1.49228625301251,0.055,0.42,2.54492416443084e-288
"tulp1",6.57947221113299e-292,-1.47419742219908,0.105,0.544,1.56367736569787e-287
"luzp2",1.63440899141563e-290,-0.91792334479233,0.001,0.244,3.8843364089984e-286
"atp6v0e",4.88159105187245e-288,-0.885731355543377,0,0.237,1.16015892938801e-283
"eif3c",4.36983377365496e-284,-1.1211158720649,0.009,0.277,1.03853469464684e-279
"unc13c",4.51297003759539e-281,-1.16382082855513,0.009,0.274,1.07255245913492e-276
"aldh1a1",1.19606392632363e-280,-1.35400984914014,0,0.232,2.84256552730073e-276
"mtdh",6.47682437425893e-280,-0.908472994232988,0,0.23,1.53928208078638e-275
"eef1a1",1.85257182832145e-279,1.26620065128946,0.918,0.652,4.40282220718875e-275
"zfp706",6.68855820074494e-279,-0.974817449936373,0,0.229,1.58960274198904e-274
"gt(rosa)26sor",7.11795272258597e-277,-0.91269122294164,0,0.228,1.69165264404978e-272
"ngfrap1",5.82639512723379e-275,2.07280637815948,0.599,0,1.38470106593838e-270
