"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ay036118",0,-3.06788756649328,0,0.83,0
"mt-nd3",0,-3.95146122652168,0,0.915,0
"mt-nd5",0,-4.60336551583742,0,1,0
"mt-co1",0,-4.63467507264963,0,0.979,0
"malat1",0,-5.01144221072458,0,0.957,0
"mt-nd4",0,-5.5865991715098,0,1,0
"mt-nd1",0,-5.62466043920083,0,1,0
"mt-nd2",0,-5.89392476251597,0,1,0
"gm42418",0,-6.2199532742157,0,1,0
"mt-cytb",0,-6.71754589613718,0,1,0
"snhg11",2.03604538835303e-219,-2.77745480865703,0,0.532,4.83886546995982e-215
"rps3a1",8.05252642573782e-202,-2.47184728771131,0,0.489,1.91376343034085e-197
"mt-nd6",4.91196233988497e-193,-2.16836075138147,0,0.468,1.16737696969706e-188
"ftl1",1.72044630109913e-175,-2.10399880194253,0,0.426,4.0888126791922e-171
"lars2",8.14537416855799e-159,-2.49400527070321,0.006,0.553,1.93582962489949e-154
"selenow",5.5642162762746e-158,-1.9617211660417,0,0.383,1.32239164021942e-153
"zfp385a",3.07240681984021e-149,-1.70725236532422,0,0.362,7.30188204803225e-145
"gpi1",1.66389988870681e-140,-1.83688037447742,0,0.34,3.9544244755006e-136
"e130218i03rik",1.66391835871999e-140,-1.97987949281817,0,0.34,3.95446837133392e-136
"selenof",8.84035818232659e-132,-1.626587417479,0,0.319,2.10099952561174e-127
"1700020i14rik",8.84035818232659e-132,-1.67222265682976,0,0.319,2.10099952561174e-127
"tubb5",8.84035818232659e-132,-1.720369812351,0,0.319,2.10099952561174e-127
"atp5k",8.84035818232659e-132,-1.72387757690954,0,0.319,2.10099952561174e-127
"car2",4.60912122228792e-123,-1.73750169650014,0,0.298,1.09540374968895e-118
"pea15a",2.35900280752467e-114,-1.64134553266333,0,0.277,5.60640607236314e-110
"zwint",7.1007498821436e-103,-1.6720738334326,0.002,0.319,1.68756421699025e-98
"trir",5.85630515125066e-97,-1.20221292804643,0,0.234,1.39180948224623e-92
"mt1",5.85630515125066e-97,-1.31185112563718,0,0.234,1.39180948224623e-92
"elob",5.85630515125066e-97,-1.46319386307257,0,0.234,1.39180948224623e-92
"4930402h24rik",5.85630515125066e-97,-1.48798140001386,0,0.234,1.39180948224623e-92
"rack1",5.85630515125066e-97,-1.49347479737384,0,0.234,1.39180948224623e-92
"spc25",1.31596267586691e-88,-1.63171625807836,0.001,0.234,3.12751689546531e-84
"platr17",2.84400279445703e-88,-1.39520999279541,0,0.213,6.75905704130657e-84
"bc003331",2.84403419348039e-88,-1.28678251978151,0,0.213,6.75913166422549e-84
"scd2",2.84403419348039e-88,-1.3313185093899,0,0.213,6.75913166422549e-84
"bex3",2.84403419348039e-88,-1.33644798402004,0,0.213,6.75913166422549e-84
"skp1a",2.84403419348039e-88,-1.35383089503491,0,0.213,6.75913166422549e-84
"snhg20",2.84403419348039e-88,-1.35485605760189,0,0.213,6.75913166422549e-84
"rab7",2.84403419348039e-88,-1.39239601947222,0,0.213,6.75913166422549e-84
"mtcl1",2.84403419348039e-88,-1.50888482180322,0,0.213,6.75913166422549e-84
"vax2os",2.84403419348039e-88,-1.64537005307271,0,0.213,6.75913166422549e-84
"zfp106",1.35926594710304e-79,-1.07936339829334,0,0.191,3.23043144988509e-75
"ac149090.1",1.35926594710304e-79,-1.09692334623521,0,0.191,3.23043144988509e-75
"tmem167",1.35926594710304e-79,-1.11387969824939,0,0.191,3.23043144988509e-75
"atp5o.1",1.35926594710304e-79,-1.11930453191094,0,0.191,3.23043144988509e-75
"cops9",1.35926594710304e-79,-1.12064397724561,0,0.191,3.23043144988509e-75
"nrd1",1.35926594710304e-79,-1.22339217574273,0,0.191,3.23043144988509e-75
"mtdh",1.35926594710304e-79,-1.32015365281281,0,0.191,3.23043144988509e-75
"mir124a-1hg",1.35926594710304e-79,-1.37190273869705,0,0.191,3.23043144988509e-75
"c230004f18rik",1.35926594710304e-79,-1.38561561072321,0,0.191,3.23043144988509e-75
"matr3",4.0915556191994e-73,-1.16421903351428,0.001,0.213,9.72399108458928e-69
"2410089e03rik",6.40102165210941e-71,-0.992557580639138,0,0.17,1.52126680584032e-66
"zfp644",6.40102165210941e-71,-1.02153629268531,0,0.17,1.52126680584032e-66
"2010107e04rik",6.40102165210941e-71,-1.07996514600189,0,0.17,1.52126680584032e-66
"selenom",6.40102165210941e-71,-1.08009516601784,0,0.17,1.52126680584032e-66
"gckr",6.40102165210941e-71,-1.09848287267619,0,0.17,1.52126680584032e-66
"d5ertd579e",6.40102165210941e-71,-1.13196652690779,0,0.17,1.52126680584032e-66
"gabarap",1.06727263544045e-65,-1.22594873234144,0.003,0.234,2.53648014538777e-61
"eef1g",7.99874529562275e-63,-1.17075632802816,0.001,0.17,1.9009818069577e-58
"mtch1",2.9750117904312e-62,-0.803701469183396,0,0.149,7.07041302113879e-58
"1110008p14rik",2.9750117904312e-62,-0.84458445732644,0,0.149,7.07041302113879e-58
"d8ertd738e",2.9750117904312e-62,-0.845368466400004,0,0.149,7.07041302113879e-58
"sem1",2.9750117904312e-62,-0.906112237173116,0,0.149,7.07041302113879e-58
"plxnc1",2.9750117904312e-62,-0.922182953001267,0,0.149,7.07041302113879e-58
"nop53",2.9750117904312e-62,-0.934123508413658,0,0.149,7.07041302113879e-58
"supt16",2.9750117904312e-62,-0.957231362979517,0,0.149,7.07041302113879e-58
"bod1l",2.9750117904312e-62,-0.971010894861546,0,0.149,7.07041302113879e-58
"tprgl",2.9750117904312e-62,-0.978593786481486,0,0.149,7.07041302113879e-58
"nsg2",2.9750117904312e-62,-0.98663474842834,0,0.149,7.07041302113879e-58
"4932438a13rik",2.9750117904312e-62,-0.987847747838697,0,0.149,7.07041302113879e-58
"hpf1",2.9750117904312e-62,-1.02263774649637,0,0.149,7.07041302113879e-58
"mturn",2.9750117904312e-62,-1.03057049688699,0,0.149,7.07041302113879e-58
"6330403k07rik",2.9750117904312e-62,-1.07412199310209,0,0.149,7.07041302113879e-58
"supt5",2.9750117904312e-62,-1.12449504303526,0,0.149,7.07041302113879e-58
"hprt",2.9750117904312e-62,-1.14732069735444,0,0.149,7.07041302113879e-58
"gm26917",2.9750117904312e-62,-1.17924524995649,0,0.149,7.07041302113879e-58
"pdxp",2.9750117904312e-62,-1.21679072613862,0,0.149,7.07041302113879e-58
