"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-nd3",0,-3.67168750957109,0,0.954,0
"mt-co1",0,-4.51105232444713,0,0.998,0
"mt-nd5",0,-4.60212950754533,0,0.998,0
"mt-nd1",0,-5.30152634241661,0,1,0
"mt-nd2",0,-5.53263906739713,0,1,0
"mt-nd4",0,-5.60182313219514,0,1,0
"malat1",0,-5.8019645680186,0,0.998,0
"gm42418",0,-6.01016908820457,0,1,0
"mt-cytb",0,-6.66074677841566,0,1,0
"ay036118",2.01375095014657e-287,-2.96118444268765,0,0.88,4.78588050811834e-283
"lars2",2.61221042257907e-203,-2.30325493099785,0.009,0.692,6.20817929030141e-199
"opn1sw",2.04289942974469e-200,-4.24943277832048,0.009,0.678,4.85515478473124e-196
"mir124a-1hg",2.62884920024941e-183,-2.27993665555669,0,0.603,6.24772300931274e-179
"mgarp",9.0349954482822e-164,-2.01241538914348,0.068,0.724,2.14725701823875e-159
"gnat2",8.09815220488249e-163,-2.80107999549153,0.028,0.615,1.92460685301237e-158
"e130218i03rik",1.04189189750404e-157,-1.80242905579763,0,0.529,2.47616028360811e-153
"hsp90aa1",1.62987362050878e-156,1.62772094045029,0.98,0.639,3.87355764650118e-152
"selenow",2.77250162888266e-155,-1.74834795804002,0,0.522,6.58912737120254e-151
"snhg20",1.77502414025381e-154,-1.69051819424187,0,0.519,4.21852237172721e-150
"zfp385a",1.77502937033517e-154,-1.7386895359242,0,0.519,4.21853480153856e-150
"mt-nd6",1.16448402886301e-149,-1.99190946163968,0,0.505,2.76751274299584e-145
"gpi1",7.3359416462238e-149,-1.57788578409757,0,0.502,1.74345989164155e-144
"nrl",8.8346058043801e-149,2.17401994904365,0.924,0.356,2.09963241546897e-144
"car2",4.37015432570475e-144,-1.72581438002436,0,0.488,1.03861087704699e-139
"opn1mw",1.5158301671414e-139,-2.59593747184674,0.01,0.51,3.60252197522824e-135
"rps3a1",2.64831547237061e-132,-1.53373836826455,0,0.452,6.29398655163599e-128
"ai847159",9.49271493531501e-131,-1.58536648806318,0,0.447,2.25603863152697e-126
"vtn",1.04235713612861e-130,-1.70409878856418,0.082,0.661,2.47726596972325e-126
"tulp1",3.96949420614606e-129,-1.45455003698145,0.467,0.918,9.43389993032672e-125
"akap9",8.84415782972521e-129,2.20758708086225,0.859,0.329,2.10190254981249e-124
"ftl1",2.00339936983963e-128,-1.55141466035641,0,0.44,4.76127894236086e-124
"atp5k",7.02327403920798e-127,-1.52667635856187,0,0.435,1.66915130815817e-122
"gucy2e",4.14458269432311e-126,-1.42233651736379,0,0.433,9.85001523132831e-122
"rpgrip1",7.11676073560843e-125,-1.98412156405663,0.23,0.791,1.6913693564247e-120
"4930447c04rik",8.40543029012012e-124,-1.46492913447673,0,0.425,1.99763456274995e-119
"1700020i14rik",8.40544206182124e-124,-1.40558353689926,0,0.425,1.99763736041244e-119
"mtcl1",4.91670501495043e-123,-1.45792349344728,0,0.423,1.16850411385312e-118
"sphkap",5.9971540112894e-123,-1.54862580128598,0.003,0.433,1.42528362232304e-118
"mtdh",2.869684795255e-122,-1.24878645733833,0,0.421,6.82009288440304e-118
"cst3",4.22820872075609e-121,-1.72698436076147,0.099,0.654,1.00487608457489e-116
"tf",1.05496391624554e-120,2.98291135083107,0.731,0,2.50722724334915e-116
"cers4",2.06095412496001e-119,-1.46850420885821,0.057,0.594,4.89806357337995e-115
"platr17",1.88088928508253e-118,-1.8621924962797,0,0.409,4.47012147492715e-114
"nedd4",7.10020725524671e-118,-1.43913742861149,0.017,0.474,1.68743525628193e-113
"pde6c",8.68356902582279e-118,-1.83103040802332,0.037,0.519,2.06373701467704e-113
"a930003a15rik",6.22789673119301e-117,-1.49693233755494,0,0.404,1.48012193713533e-112
"matr3",7.17576137318061e-117,-1.26401610251883,0.005,0.425,1.7053914479501e-112
"ftl",6.79001131327001e-114,2.83013400353875,0.705,0,1.61371408871175e-109
"tubb5",3.78257936798341e-113,-1.23559446169895,0,0.392,8.98967812594936e-109
"bc005537",3.78257936798341e-113,-1.34511447999593,0,0.392,8.98967812594936e-109
"ahi1",2.09954702553017e-112,1.64468768971041,0.873,0.474,4.98978346087499e-108
"gngt2",5.25446429460984e-112,-2.91569539773533,0.078,0.565,1.24877598425697e-107
"ubc",3.20150335532472e-110,1.77439714415392,0.844,0.452,7.60869287426474e-106
"gm4792",3.86958778791476e-110,-1.40965925532257,0,0.382,9.19646233675823e-106
"2010107e04rik",1.22180657282869e-108,-1.3423443456316,0,0.377,2.90374550098467e-104
"purb",2.11983140059557e-108,-1.42726925667746,0.096,0.637,5.03799130665544e-104
"gckr",6.84346861787834e-108,-1.41040930487286,0,0.375,1.62641875172497e-103
"araf",1.28799163559683e-107,-1.40643830016391,0.02,0.447,3.06104092115943e-103
"dnm1",1.4900655779783e-106,-1.52947400190254,0.141,0.714,3.54128985262323e-102
"zfp444",2.13322517599069e-106,-1.23728562074477,0,0.37,5.06982295325948e-102
"pea15a",1.18721995314977e-105,-1.21182823005583,0,0.368,2.82154694065575e-101
"hist3h2ba",3.65378300870229e-104,-1.27337851388077,0,0.363,8.68358069848186e-100
"grina",3.40766915545797e-103,-1.31294659179655,0.137,0.707,8.09866651486141e-99
"apbb1",6.22142182718715e-103,-1.26612716738736,0.034,0.483,1.4785831114493e-98
"elob",1.11497874939653e-102,-1.24825369492209,0,0.358,2.64985849581579e-98
"ac149090.1",1.11497874939653e-102,-1.39487361194492,0,0.358,2.64985849581579e-98
"rpl3",1.36354283762236e-102,1.45430380960965,0.864,0.49,3.2405959078933e-98
"klc3",3.04234408608037e-102,-1.13588574336981,0.001,0.361,7.23043495497862e-98
"hist1h2bc",4.17593639614953e-102,-1.29661959672108,0.009,0.392,9.92453043908898e-98
"sorbs2",7.20336852268185e-102,2.24242275915897,0.719,0.103,1.71195256310057e-97
"pygm",9.84729828924495e-102,-1.21975048139495,0.003,0.37,2.34030891142195e-97
"hist1h4c",1.80348604260277e-101,2.55197530451748,0.682,0.05,4.28616492884973e-97
"selenof",3.37374194741735e-101,-1.21156648043246,0,0.353,8.01803511223207e-97
"pde6a",4.30646443290544e-101,1.74203673387939,0.826,0.32,1.02347433712431e-96
"rack1",1.8499436025426e-100,-1.13043461788751,0,0.351,4.39657596580275e-96
"selenok",1.8499436025426e-100,-1.13586527827203,0,0.351,4.39657596580275e-96
"rps3a",8.11981877143224e-100,2.60984674436974,0.647,0,1.92975612921859e-95
"bc031181",1.01225536989139e-99,-1.16111354178971,0,0.349,2.40572611208388e-95
"hprt",5.52722052254658e-99,-1.10571768568098,0,0.346,1.31359922938842e-94
"snhg11",1.63757754391707e-97,-1.60396632656533,0,0.341,3.89186679087331e-93
"rapgef5",2.36321713686085e-97,-1.06806541574473,0.003,0.356,5.6164218474635e-93
"atp5o.1",4.81123394744901e-96,-1.05445953764852,0,0.337,1.14343785995073e-91
"hspb6",6.94665725580511e-96,-1.09685137740053,0.003,0.351,1.65094256341464e-91
"actg1",1.30520828642247e-94,2.41272764132508,0.659,0.06,3.10195801351165e-90
"ckmt1",7.54279433438199e-94,-1.06355552376647,0,0.329,1.79262050150922e-89
"gzmm",9.29376630635504e-94,-1.31109857358406,0.002,0.337,2.20875650036834e-89
"fth1",1.68834945102099e-93,1.03903524120136,0.945,0.69,4.01253130529648e-89
"plk5",2.170340709414e-92,-1.11264426691414,0,0.325,5.15803172999331e-88
"rpl10",2.22411082753997e-92,1.87608444885275,0.761,0.305,5.2858217927315e-88
"sncb",7.25800760926867e-92,-1.35060789269965,0.053,0.49,1.72493808841879e-87
"kcne2",6.19324989064687e-91,-1.39761560953089,0,0.32,1.47188776901114e-86
"tnfsf12",1.15640415148289e-90,-1.01981462285932,0.01,0.361,2.74831010641423e-86
"adrb1",2.33516909940347e-90,-1.17532004214499,0.008,0.351,5.54976288164229e-86
"gabarap",4.34306976960599e-90,-1.02686765147882,0.005,0.339,1.03217396144456e-85
"bc027072",1.75272715907115e-89,-0.99058833024589,0,0.315,4.16553136624849e-85
"rpl13a",9.33352025111409e-89,2.15604211864891,0.694,0.18,2.21820442287977e-84
"ptma",1.132657231365e-88,1.57796640450893,0.792,0.413,2.69187317606207e-84
"zfp644",4.91956619038577e-88,-1.04703381604932,0,0.31,1.16918410080708e-83
"snrnp70",7.39849258556039e-88,-1.26944040915819,0.178,0.709,1.75832574788428e-83
"ddhd1",2.14256439744067e-87,-1.24148120191815,0.077,0.538,5.0920185469575e-83
"nrd1",2.59831551524905e-87,-0.956146115700614,0,0.308,6.17515665354088e-83
"vax2os",1.36951119544279e-86,-1.48607529657407,0,0.305,3.25478030708935e-82
"eif1a",1.36951299446049e-86,-0.893141074653134,0,0.305,3.25478458263479e-82
"ccdc136",2.41618920455138e-86,-1.57668632173945,0.066,0.488,5.74231526353682e-82
"bod1l",7.20359431134922e-86,-1.00265396073175,0,0.303,1.71200622403526e-81
"cd59a",7.20360376214803e-86,-1.09408491747302,0,0.303,1.7120084701121e-81
"tmem234",1.38353116571321e-85,-1.00857636226391,0.015,0.363,3.28810016843402e-81
"ogt",3.46666336673636e-85,-1.09945200909507,0.037,0.433,8.23887215738564e-81
"cdk2ap2",1.8882454223602e-84,-1.1555314372999,0.049,0.464,4.48760407078126e-80
"2510009e07rik",1.98084064278929e-84,-0.954748127419463,0,0.298,4.70766587165304e-80
"1110004f10rik",1.03554474623548e-83,-0.875163479952076,0,0.296,2.46107564390324e-79
"sem1",1.03554474623548e-83,-0.887932202773981,0,0.296,2.46107564390324e-79
"eef1g",8.14638240557762e-83,-0.919603344227947,0.002,0.3,1.93606924250958e-78
"zfp207",1.46157089096647e-81,-0.922331009450821,0,0.288,3.47356937947092e-77
"cops9",1.46157469699056e-81,-0.896248191764827,0,0.288,3.47357842486777e-77
"linc00599",2.7516281873901e-81,2.40555901448512,0.563,0,6.53951955015132e-77
"scg5",2.78371367968694e-81,-1.17711487831633,0.025,0.38,6.61577393114398e-77
"slc8a3",2.79373352878042e-81,-1.01101959624748,0.007,0.317,6.63958710449954e-77
"cadm3",5.49546462408463e-81,-0.98415794047857,0.014,0.346,1.30605212255995e-76
"fos",1.85184202489243e-80,2.24550287180873,0.588,0.031,4.40108775635934e-76
"hspa1a",2.03748014882058e-80,2.19903968335411,0.637,0.123,4.84227532168699e-76
"1110038f14rik",3.9220577890739e-80,-0.875586848432485,0,0.284,9.32116254151303e-76
"zfp638",3.9220577890739e-80,-0.921089019863544,0,0.284,9.32116254151303e-76
"amy1",3.9220577890739e-80,-1.13850000111959,0,0.284,9.32116254151303e-76
"qsox1",4.2100250033674e-80,-1.09592590906847,0.03,0.392,1.0005545423003e-75
"selenot",2.02555047988585e-79,-0.794195193737177,0,0.281,4.81392327049671e-75
"1190005i06rik",2.02555047988585e-79,-0.84911627005402,0,0.281,4.81392327049671e-75
"eef1a1",7.40375330269689e-79,1.17632249536976,0.838,0.553,1.75957600991894e-74
"d8ertd738e",1.0439858163076e-78,-0.846939305698755,0,0.279,2.48113669103665e-74
"d16ertd472e",1.0439858163076e-78,-0.944589258032268,0,0.279,2.48113669103665e-74
"ckb",1.16907645942221e-78,0.754450384986648,0.988,0.829,2.77842711346283e-74
"peg3",2.32500699274213e-78,-1.14466278746107,0.02,0.353,5.52561161895095e-74
"ndufa7",4.36866512213909e-78,-1.02449870379753,0.02,0.356,1.03825695292758e-73
"gm48551",5.369953474501e-78,-0.84976051814595,0,0.276,1.27622314274991e-73
"zfp292",5.369953474501e-78,-0.924223200987137,0,0.276,1.27622314274991e-73
"nr2e3",1.02319179669121e-77,1.69684152033938,0.706,0.175,2.43171762401633e-73
"tmsb10",1.65544869650781e-77,-1.88895563497682,0.085,0.481,3.93433937212046e-73
"nav1",2.42199017378821e-77,-1.11353878284802,0.014,0.329,5.75610184702506e-73
"2410015m20rik",2.75658683463425e-77,-0.772144809188174,0,0.274,6.55130427119175e-73
"pde6d",5.87492639735837e-77,-1.03378346494869,0.029,0.38,1.39623500759619e-72
"krt18",4.28145043742979e-76,-0.803174277665609,0.001,0.274,1.01752951095956e-71
"trir",7.22034734412798e-76,-0.859338288548679,0,0.269,1.71598774980546e-71
"mtch1",7.22035665088742e-76,-0.79003801820916,0,0.269,1.7159899616499e-71
"ai480526",7.22035665088742e-76,-0.809049972250517,0,0.269,1.7159899616499e-71
"rpl15",2.35585080182325e-75,1.95681108774222,0.658,0.216,5.59891501561314e-71
"zfp329",3.68422516113913e-75,-0.802899574747785,0,0.267,8.75592951796326e-71
"eif2s3y",3.68422516113913e-75,-0.844761985201321,0,0.267,8.75592951796326e-71
"retreg2",3.68422516113913e-75,-0.871130372383112,0,0.267,8.75592951796326e-71
"ssbp4",3.78802456199812e-75,-1.02667157679885,0.041,0.409,9.00261917404472e-71
"pde6g",6.57713503928961e-75,0.898531889386637,0.935,0.666,1.56312191343757e-70
"acly",1.11602762351353e-74,-0.954261582741237,0.011,0.31,2.65235125004225e-70
"fyco1",1.2519181676509e-74,-1.065251271394,0.065,0.469,2.97530871723913e-70
"hk2",1.8227624455182e-74,-1.22888251152473,0.086,0.505,4.33197722801856e-70
"pdzph1",1.87613700209424e-74,-0.956411651469141,0,0.264,4.45882719917717e-70
"myl6",1.92022268560476e-74,1.58805070928257,0.72,0.363,4.56360123460828e-70
"dlg4",2.72348111969603e-73,-0.998015190908344,0.082,0.51,6.47262522906959e-69
"rtraf",4.83618597142234e-73,-0.684064289911766,0,0.26,1.14936795796823e-68
"4932438a13rik",4.83618597142234e-73,-0.978144564550529,0,0.26,1.14936795796823e-68
"man2a2",6.88266798989808e-73,-1.11906721913612,0.113,0.567,1.63573487447918e-68
"zfp706",2.44806924427609e-72,-0.788114172194123,0,0.257,5.81808136594655e-68
"2300009a05rik",2.44807237999012e-72,-0.670054687876115,0,0.257,5.81808881828451e-68
"5031425e22rik",2.44807237999012e-72,-0.726539439590683,0,0.257,5.81808881828451e-68
"zfp445",2.44807551570846e-72,-0.931785372480434,0,0.257,5.81809627063274e-68
"tubb4b",1.39980479046155e-71,1.85529665153505,0.645,0.183,3.32677606501092e-67
"edc4",1.7226216370564e-71,-1.13957267774535,0.002,0.262,4.09398258262823e-67
"ackr1",2.58210508207254e-71,-0.930180815794273,0.004,0.272,6.13663093805359e-67
"lrit1",3.39427164628571e-71,-0.801515194653397,0.006,0.279,8.06682599456262e-67
"mylk",4.20090351386505e-71,-1.16660840893336,0.079,0.486,9.98386729105169e-67
"znf326",4.22892755388986e-71,2.18565198397307,0.512,0,1.00504692245746e-66
"klhdc8b",4.76593015300604e-71,-0.845637583170615,0.008,0.286,1.13267096016342e-66
"eloc",6.23564583802399e-71,-0.760008092628739,0,0.252,1.48196358986478e-66
"mpp6",8.25654950987981e-71,-0.980868875135226,0.027,0.353,1.96225155651804e-66
