"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-nd5",6.90609149906644e-140,-4.09903503082876,0,1,1.64130170566813e-135
"mt-co1",6.90616932575517e-140,-4.1711285059819,0,1,1.64132020195897e-135
"mt-nd4",6.90616932575517e-140,-5.10841837641942,0,1,1.64132020195897e-135
"mt-nd1",6.90616932575517e-140,-5.33351709707576,0,1,1.64132020195897e-135
"mt-nd2",6.90616932575517e-140,-5.50125539765691,0,1,1.64132020195897e-135
"mt-cytb",6.90616932575517e-140,-6.35302614270027,0,1,1.64132020195897e-135
"gm42418",7.29701880082618e-139,-5.89983531884934,0,0.994,1.73420948820435e-134
"malat1",7.29710076192062e-139,-6.13169501739789,0,0.994,1.73422896707806e-134
"mt-nd3",8.74895809728488e-133,-3.62964713783414,0,0.96,2.07927738140072e-128
"snhg11",7.86511375197392e-126,-3.78030118005372,0,0.919,1.86922293429412e-121
"ay036118",7.86519839429052e-126,-2.96620015345588,0,0.919,1.86924305038708e-121
"c230004f18rik",9.53149946518287e-97,-2.64199281714888,0,0.74,2.26525616289536e-92
"ac149090.1",5.79984627121058e-95,-2.3930975195644,0,0.728,1.37839146481591e-90
"lars2",5.37968937560876e-83,-2.1760082585435,0.023,0.723,1.27853697700718e-78
"neat1",1.03276683146555e-69,4.00565480004194,0.894,0.052,2.45447365166102e-65
"gpi1",4.99543107510263e-67,-1.80639728436728,0,0.538,1.18721414930889e-62
"mir124a-1hg",3.18005506540662e-66,-1.82403557057241,0,0.532,7.55771886844539e-62
"matr3",9.3601053281467e-65,-1.6710181948333,0.006,0.543,2.22452263228735e-60
"selenom",4.94084846714473e-63,-1.60870989728609,0,0.509,1.17424204670162e-58
"scd2",4.26015815499046e-59,-1.5925982699154,0,0.48,1.01246918711503e-54
"mgarp",1.20052742711029e-57,-1.93875819169109,0.197,0.832,2.85317348327032e-53
"selenow",9.17493300690175e-57,-1.56399155794107,0,0.462,2.18051457842027e-52
"nedd4",2.57094761605315e-56,-1.47574548095353,0.002,0.468,6.11011410431192e-52
"e130218i03rik",3.20950482579627e-55,-1.66682348722826,0,0.451,7.62770916898741e-51
"nsg2",1.88319214573878e-54,-1.51061664367545,0,0.445,4.47559445356278e-50
"rps3a1",1.09913492666849e-53,-1.60214826630641,0,0.439,2.61220406672034e-49
"4930447c04rik",1.09914399271651e-53,-1.37900376121672,0,0.439,2.61222561309005e-49
"pfkp",2.924938398532e-52,-1.68643753013939,0.131,0.757,6.95140859795116e-48
"mtdh",3.68567177229109e-52,-1.27823640953912,0,0.428,8.759367534027e-48
"1700020i14rik",3.68567177229109e-52,-1.30983868674197,0,0.428,8.759367534027e-48
"galnt17",3.68567177229109e-52,-1.35557270254444,0,0.428,8.759367534027e-48
"mt-nd6",3.68567177229109e-52,-1.64486071623104,0,0.428,8.759367534027e-48
"6430548m08rik",3.89252652909497e-49,-1.47159036452192,0,0.405,9.2509785490471e-45
"snhg20",3.89255804410043e-49,-1.25854644277625,0,0.405,9.25105344760909e-45
"5330434g04rik",2.19050450354303e-48,-1.33955677227704,0,0.399,5.20595300312038e-44
"jph4",1.70387103169205e-47,2.51225282845873,0.747,0.116,4.04941989391932e-43
"4932438a13rik",6.83079593409838e-47,-1.3668258658392,0,0.387,1.62340696169782e-42
"ftl1",3.78540951845055e-46,-1.3851565790324,0,0.382,8.99640426154958e-42
"tulp1",4.19312710390813e-46,-1.38287781626818,0.081,0.63,9.96538587514805e-42
"zfp385a",2.0871027786927e-45,-1.23153014784646,0,0.376,4.96020846384107e-41
"car2",2.0871027786927e-45,-1.65608881675178,0,0.376,4.96020846384107e-41
"pea15a",3.39370742374798e-43,-1.13458515039148,0,0.358,8.06548506327944e-39
"zfp638",3.39373423228602e-43,-1.15195227728696,0,0.358,8.06554877645095e-39
"zfp445",3.39373423228602e-43,-1.16027813947527,0,0.358,8.06554877645095e-39
"atp5k",3.39373423228602e-43,-1.24159661799604,0,0.358,8.06554877645095e-39
"supt5",1.83385238516192e-42,-1.12740155458779,0,0.353,4.35833357857581e-38
"zfp280d",1.83385238516192e-42,-1.17247684326755,0,0.353,4.35833357857581e-38
"bc005537",1.83385238516192e-42,-1.18390793235667,0,0.353,4.35833357857581e-38
"afdn",1.83385238516192e-42,-1.25713084605386,0,0.353,4.35833357857581e-38
"zwint",4.30510704174746e-42,-1.28926748893822,0.002,0.358,1.0231517395417e-37
"impact",5.35310571056774e-42,-1.27212934833204,0.025,0.439,1.27221910317353e-37
"eef1a2",8.21907477370624e-42,-1.48891406178226,0.151,0.694,1.95334531071903e-37
"nrd1",2.80846992779729e-40,-1.00338519722106,0,0.335,6.67460963040303e-36
