"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-nd1",5.37857345579836e-42,-4.64584784354705,0,1,1.27827176750504e-37
"mt-cytb",5.37857345579836e-42,-5.7729315917604,0,1,1.27827176750504e-37
"mt-nd4",5.37875341753929e-42,-4.728458426903,0,1,1.27831453721239e-37
"gm42418",5.37875341753929e-42,-5.66844532008984,0,1,1.27831453721239e-37
"mt-co1",1.40681787351893e-41,-3.69743607323853,0,0.994,3.3434433582051e-37
"mt-nd2",1.40691118610477e-41,-4.82869349326852,0,0.994,3.34366512489659e-37
"malat1",3.65590633201386e-41,-5.32902610175304,0,0.988,8.68862698866413e-37
"mt-nd5",9.43615203763253e-41,-3.627563108597,0,0.982,2.24259589326375e-36
"ay036118",2.79911316263608e-35,-2.80286417436148,0,0.899,6.65237234232091e-31
"mt-nd3",1.87588271948084e-33,-2.92888547169247,0,0.869,4.45822287111817e-29
"rps3a1",5.27118249145405e-31,-2.8537650138396,0,0.827,1.25274923091897e-26
"rps3a",1.78350839426682e-30,2.68012369020891,0.626,0,4.23868604981452e-26
"ftl1",2.49158144986181e-29,-2.46027429504134,0,0.798,5.92149247374157e-25
"ftl",1.2707175246079e-28,2.77615308114278,0.593,0,3.01998726898314e-24
"hla-b",5.15691320809788e-28,3.11461562432978,0.582,0,1.22559199303654e-23
"hla-c",2.07087370727268e-27,2.62568243976809,0.571,0,4.92163845270424e-23
"selenow",4.37078404547525e-27,-2.13316870121991,0,0.756,1.03876053624765e-22
"hla-e",8.23062355343772e-27,2.90341644200273,0.56,0,1.95608999371001e-22
"sepw1",8.23062355343772e-27,2.26665851908204,0.56,0,1.95608999371001e-22
"hist1h4c",3.23554256698603e-26,2.17494851593807,0.571,0.012,7.689590464699e-22
"hla-a",3.23750478062324e-26,2.71559024639363,0.549,0,7.69425386162918e-22
"a2m",1.45547109247472e-25,3.04276693092393,0.549,0.006,3.45907259837543e-21
"skp1",4.85810261988759e-25,1.8820081842896,0.527,0,1.15457666864249e-20
"h2-d1",5.91914334628449e-25,-2.75711124967077,0,0.714,1.40674360767797e-20
"pgam1",6.04125179501019e-25,1.709893147699,0.538,0.006,1.43576390160212e-20
"fos",8.76444917184455e-25,3.07571342113502,0.637,0.077,2.08295899018058e-20
"lars2",9.88806915251874e-24,-2.03195153216478,0.022,0.702,2.3499985147876e-19
"gnb2l1",2.61919467597095e-23,2.01099113827088,0.495,0,6.22477806691255e-19
"tceb2",2.61919467597095e-23,1.66057036679148,0.495,0,6.22477806691255e-19
"h2-k1",3.26491996474124e-23,-2.64175353274048,0,0.679,7.75940878820402e-19
"cd59",9.70144558459871e-23,2.14221238439721,0.484,0,2.30564555763573e-18
"sdpr",9.70144558459871e-23,2.06805942118659,0.484,0,2.30564555763573e-18
"rps4y1",9.70144558459871e-23,1.68621683231289,0.484,0,2.30564555763573e-18
"ndufb1",9.70144558459871e-23,1.5591924969551,0.484,0,2.30564555763573e-18
"ly6c1",1.19519954650692e-22,-2.93656942554259,0,0.667,2.84051124222834e-18
"ly6a",1.1952240197203e-22,-2.97324581395361,0,0.667,2.84056940526726e-18
"abcb1",3.55865129485605e-22,1.73934974974546,0.473,0,8.45749066735489e-18
"slc25a6",3.55865129485605e-22,1.56943351813631,0.473,0,8.45749066735489e-18
"bsg",4.54595078573104e-22,-2.75017612863456,0.516,0.857,1.08039066373684e-17
"slco1a4",8.07802185152465e-22,-2.64426192281975,0,0.649,1.91982267323335e-17
"slc2a3",8.6163122504097e-22,2.09251741865772,0.484,0.006,2.04775276943237e-17
"rnase1",1.29286308329178e-21,1.63959382573532,0.462,0,3.07261840375124e-17
"aipl1",2.26824069627602e-21,2.3122814114349,0.549,0.042,5.39070083876958e-17
"kitl",2.82092121602924e-21,-1.88717782128936,0,0.637,6.7042013620151e-17
"rpl13a",3.55683022631234e-21,2.13002525923099,0.769,0.357,8.45316271585391e-17
"tm4sf18",4.6523853489402e-21,1.64570854353641,0.451,0,1.10568590202913e-16
"atp5i",4.6523853489402e-21,1.569894636222,0.451,0,1.10568590202913e-16
"c12orf57",4.6523853489402e-21,1.3608396627244,0.451,0,1.10568590202913e-16
"abcb1a",5.23497281900826e-21,-2.15072299253722,0,0.631,1.2441436401655e-16
