"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-co1",2.72798248599979e-47,-4.07954799929121,0,1,6.48332317622709e-43
"mt-nd4",2.72821837897596e-47,-4.94195983473712,0,1,6.48388379947426e-43
"mt-nd1",2.72821837897596e-47,-5.10360401657241,0,1,6.48388379947426e-43
"mt-nd2",2.72821837897596e-47,-5.26806373384623,0,1,6.48388379947426e-43
"gm42418",2.72821837897596e-47,-5.53811931471375,0,1,6.48388379947426e-43
"mt-cytb",2.72821837897596e-47,-6.12643602176894,0,1,6.48388379947426e-43
"mt-nd5",2.04246953810372e-46,-3.88333911075031,0,0.986,4.8541331042573e-42
"malat1",7.70563684040399e-44,-6.22493384067913,0,0.943,1.83132165149041e-39
"ftl1",1.64714865603911e-40,-2.71165703923779,0,0.886,3.91461349594255e-36
"mt-nd3",1.64714865603911e-40,-3.38790462473608,0,0.886,3.91461349594255e-36
"ay036118",9.86376195170659e-36,-2.45872587663763,0,0.8,2.34422166544259e-31
"neat1",1.08692435031845e-32,3.29618973988069,1,0.329,2.58318441096682e-28
"selenow",6.0892039753297e-32,-2.37659852848824,0,0.729,1.44716021677686e-27
"nedd4",9.53491594799123e-30,-2.01885463304074,0,0.686,2.2660681241996e-25
"pvalb",1.67824912841527e-29,3.40713142788946,0.92,0,3.98852687859172e-25
"rps3a1",4.9888139812014e-29,-2.3844606558372,0,0.671,1.18564153077232e-24
"gpi1",2.5723671085047e-28,-2.13965728113712,0,0.657,6.11348767007227e-24
"lars2",1.36841330405331e-26,-1.72792637387711,0.007,0.643,3.2521710584131e-22
"selenof",1.57560954502309e-25,-1.81946317921935,0,0.6,3.74459364470186e-21
"cirbp",1.28883955018604e-24,1.87782669832098,0.913,0.314,3.06305607497214e-20
"cntnap2",1.32902861882477e-24,2.5931920767732,0.86,0.043,3.15856941549894e-20
"ypel2",3.85344915640646e-24,2.29474522924203,0.847,0.114,9.1581072651156e-20
"ckb",6.42085112525543e-24,1.6823842644134,0.987,0.757,1.5259794784282e-19
"selenok",1.6755146612596e-23,-1.56201451717994,0,0.557,3.98202814394958e-19
"rorb",1.83203402177215e-23,1.76114352090224,0.947,0.329,4.3540120561437e-19
"htra1",2.21490774041957e-23,1.97182159786068,0.88,0.257,5.26394973588114e-19
"ftl",4.2998363458653e-23,2.54420895561315,0.787,0,1.02189910595835e-18
"rack1",7.72483200399466e-23,-1.62834814266528,0,0.543,1.83588357406937e-18
"tmsb4x",1.74652179025437e-22,-2.45735690363251,0.213,0.8,4.15078368671854e-18
"elob",3.51446845536449e-22,-1.77736690494693,0,0.529,8.35248573101925e-18
"b230219d22rik",3.51468954096021e-22,-1.38770210333592,0,0.529,8.35301116304602e-18
"cst3",4.05111179163796e-22,-2.22658230289031,0.133,0.729,9.62787228400677e-18
"jph4",4.31107206141292e-22,2.42991124508877,0.78,0.043,1.02456938611539e-17
"pebp1",1.29282737816454e-21,2.12125629082656,0.84,0.2,3.07253354694584e-17
"selenom",1.57804753275215e-21,-1.37814055784175,0,0.514,3.75038776633876e-17
"scd2",1.57804753275215e-21,-2.03917915150721,0,0.514,3.75038776633876e-17
"sparcl1",2.0147609966055e-21,-1.82126516089054,0.033,0.614,4.78828098453263e-17
"cxxc5",2.21796751206421e-21,2.21600674409841,0.8,0.114,5.2712215891718e-17
"onecut1",2.60484928802549e-21,2.33253809515559,0.807,0.114,6.19068481792137e-17
"spp1",3.86358046046309e-21,2.76014516924772,0.753,0.029,9.18218532233658e-17
"tprgl",6.99278424344704e-21,-1.37693204539991,0,0.5,1.66190510329762e-16
"atp5k",6.99278424344704e-21,-1.48517480661915,0,0.5,1.66190510329762e-16
"e130218i03rik",6.99321607582611e-21,-2.31433477266309,0,0.5,1.66200773258083e-16
"pcp4",1.11056295812713e-20,2.95342931865095,0.76,0.043,2.63936392628493e-16
"shisa8",1.73915167085965e-20,2.45725986458026,0.733,0.014,4.13326786096503e-16
"gnai2",1.93586803683736e-20,-1.47343843069679,0.04,0.586,4.60078397634767e-16
"pgam1",2.65348644122241e-20,2.22946414015405,0.74,0.043,6.30627587620918e-16
"2010107e04rik",3.05927725163874e-20,-1.67953555556153,0,0.486,7.27067831624462e-16
"snhg11",3.05927725163874e-20,-2.78638741952485,0,0.486,7.27067831624462e-16
"rp11-96l14.7",9.7470191685067e-20,2.39772927968043,0.707,0,2.3164765755873e-15
"mt-nd6",1.32131807941261e-19,-1.6271332141178,0,0.471,3.14024454753201e-15
"map1b",1.35745390922475e-19,1.86432020591744,0.833,0.286,3.22612496066355e-15
"ptn",1.8472654248023e-19,1.91243539787702,0.787,0.114,4.39021100858515e-15
"acsl3",2.28624169658581e-19,2.09987457405926,0.78,0.171,5.43348201610583e-15
"gria4",6.3655479052568e-19,2.12089355948214,0.747,0.1,1.51283611516333e-14
"rhobtb1",6.51549814448889e-19,2.24396084526589,0.693,0.014,1.54847328901923e-14
"gabarap",6.75599057324641e-19,-1.38936668421468,0.007,0.471,1.60562871963774e-14
"onecut2",1.33095219188773e-18,1.48569859054324,0.907,0.257,3.16314097924038e-14
"cox4i2",1.51808219213757e-18,-1.79444717630532,0.013,0.486,3.60787413783415e-14
"ndufa7",2.02360724440214e-18,-1.44831213014794,0.027,0.514,4.80930497704612e-14
"kif1a",5.06213962343787e-18,1.57820057251313,0.82,0.229,1.20306810290625e-13
"mgp",5.36962493689785e-18,-2.86534907961253,0.013,0.471,1.27614506250314e-13
"a2m",7.83173929893505e-18,2.61216205626799,0.667,0.014,1.8612911617849e-13
"ptma",8.80961311365464e-18,1.62856000161179,0.847,0.5,2.09369265259116e-13
"h2-d1",9.87362615629144e-18,-1.11405202931696,0,0.429,2.34656599230422e-13
"eef1g",9.87362615629144e-18,-1.37122460382317,0,0.429,2.34656599230422e-13
"gucy1b1",9.87362615629144e-18,-1.68005358523741,0,0.429,2.34656599230422e-13
"p2ry14",1.0653458253444e-17,-1.79468073485157,0.013,0.471,2.5319008885135e-13
