"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ftl",1.66369002358978e-34,4.52978681027914,0.909,0,3.95392571006348e-30
"hla-drb1",1.66369002358978e-34,4.03161010542022,0.909,0,3.95392571006348e-30
"hla-dra",1.18151248480082e-33,4.5861707399534,0.891,0,2.80798257137764e-29
"hla-a",1.18151248480082e-33,2.89583123953439,0.891,0,2.80798257137764e-29
"rps3a",8.21377012519615e-33,3.37103310709622,0.873,0,1.95208460795412e-28
"hla-b",8.21377012519615e-33,3.12412573278247,0.873,0,1.95208460795412e-28
"hla-dpa1",5.59099174454164e-32,3.38458829071647,0.855,0,1.32875509800777e-27
"cd74",1.24768197322249e-31,3.64347193378757,0.945,0.081,2.96524097756057e-27
"spp1",3.72717962011246e-31,4.91630123409954,0.836,0,8.85801508515926e-27
"hla-dpb1",2.43399344007479e-30,3.30754732800221,0.818,0,5.78462880968175e-26
"gnb2l1",2.43399344007479e-30,2.6870039499119,0.818,0,5.78462880968175e-26
"dusp1",2.87304779716877e-30,3.2533676359951,0.855,0.024,6.82808539475131e-26
"hla-dqb1",6.0039569259687e-28,2.90842368212503,0.764,0,1.42690040302572e-23
"hla-e",6.0039569259687e-28,2.76444093472658,0.764,0,1.42690040302572e-23
"neat1",9.78988353067919e-28,3.82755829689031,0.818,0.04,2.32666371990122e-23
"mt-nd1",2.83131545779084e-27,-4.99244516446867,0,1,6.72890431698571e-23
"mt-nd4",2.83149546150422e-27,-5.02185696416252,0,1,6.72933211381094e-23
"mt-nd2",2.83149546150422e-27,-5.22323349674398,0,1,6.72933211381094e-23
"gm42418",2.83167547627509e-27,-5.89831848099745,0,1,6.72975993691539e-23
"mt-cytb",2.83167547627509e-27,-6.11896811318555,0,1,6.72975993691539e-23
"hla-dqa1",3.61892420788868e-27,3.089782290131,0.745,0,8.60073527246823e-23
"hla-drb5",3.61892420788868e-27,2.78921168209728,0.745,0,8.60073527246823e-23
"rnaset2",3.61892420788868e-27,2.68761236769528,0.745,0,8.60073527246823e-23
"actg1",5.94605625446766e-27,2.34894058184687,0.8,0.024,1.41313972943679e-22
"mt-nd5",1.54204127996506e-26,-3.98292250998923,0,0.984,3.66481530596495e-22
"sumo2",2.1393038093264e-26,1.66171920675943,0.727,0,5.08426943324512e-22
"rpl13a",4.6229857217559e-26,2.24525389443024,0.945,0.194,1.09869878663251e-21
"fos",7.25739284206691e-26,3.3104868296367,0.8,0.056,1.72479198284562e-21
"mt-co1",8.12697522759812e-26,-3.96999192206772,0,0.968,1.93145693259097e-21
"rgs1",1.24055395914977e-25,2.62084001001079,0.709,0,2.94830053931534e-21
"klf2",1.24123641917416e-25,2.42080896765423,0.764,0.016,2.9499224738093e-21
"zfp36",1.82618552470065e-25,2.08206934351518,0.818,0.056,4.34011251800357e-21
"cst3",2.81769370875762e-25,-3.06318616063288,0.727,1,6.69653086823335e-21
"ccl3",2.95683696927373e-25,3.58294599052166,0.764,0.032,7.02721874117595e-21
"skp1",7.05842521611146e-25,1.71109789581637,0.691,0,1.67750533686105e-20
"hist1h4c",7.05842521611146e-25,1.70458534860961,0.691,0,1.67750533686105e-20
"fosb",1.96793972861277e-24,2.86425864391722,0.709,0.016,4.6770055590211e-20
"fcgr3a",3.94137106261144e-24,2.30778661211576,0.673,0,9.36706246740234e-20
"srsf7",1.10935872614096e-23,1.99015799182462,0.818,0.081,2.6365019485466e-19
"hla-c",2.16039048440181e-23,2.38796658054331,0.655,0,5.13438402522933e-19
"hla-dmb",2.16039048440181e-23,2.06713681536708,0.655,0,5.13438402522933e-19
"clec7a",2.16039048440181e-23,1.78053166817051,0.655,0,5.13438402522933e-19
"slc25a6",2.16039048440181e-23,1.75324861526476,0.655,0,5.13438402522933e-19
"cxcl8",1.16268067594067e-22,2.76859349044115,0.636,0,2.76322689444059e-18
"apoc1",1.16268067594067e-22,2.66596776211252,0.636,0,2.76322689444059e-18
"cxcr4",1.16268067594067e-22,1.9108091684665,0.636,0,2.76322689444059e-18
"sat1",1.76035534244129e-22,2.76933777923913,0.909,0.234,4.18366050684598e-18
"ier2",1.92249232160616e-22,2.88696834615375,0.709,0.04,4.5689952515292e-18
"rps3a1",2.05228381391609e-22,-3.52028075093836,0,0.887,4.87745771215297e-18
"malat1",2.05239294384619e-22,-4.06130336765287,0,0.887,4.87771707034486e-18
"btg1",2.31039997286954e-22,2.37565135409747,0.782,0.089,5.49089657552176e-18
"rpl15",2.77619979262988e-22,1.88673026399692,0.909,0.25,6.59791642716418e-18
"tnfrsf1b",5.44214792665251e-22,1.70032855980571,0.655,0.016,1.29338087624823e-17
"hla-dma",6.14510910125189e-22,1.89822091718844,0.618,0,1.46044662900352e-17
"sepw1",6.14510910125189e-22,1.5526541124993,0.618,0,1.46044662900352e-17
"h3f3b",9.82458697087773e-22,1.79143974088801,0.964,0.419,2.3349113394988e-17
"rel",1.2069302090956e-21,1.93952326391268,0.691,0.032,2.8683903349366e-17
"ftl1",1.85344510502948e-21,-3.55907895144363,0,0.863,4.40489763661305e-17
"gstp1",2.68351824095031e-21,1.77649586855345,0.673,0.032,6.37764945144251e-17
"ms4a7",3.19034234155831e-21,1.85035563631759,0.6,0,7.58216760894748e-17
"olr1",3.19034234155831e-21,1.79863191035914,0.6,0,7.58216760894748e-17
"rps4y1",3.19034234155831e-21,1.5824102866746,0.6,0,7.58216760894748e-17
"c10orf54",3.19034234155831e-21,1.55012807564046,0.6,0,7.58216760894748e-17
"rhbdf2",3.19034234155831e-21,1.3654300376119,0.6,0,7.58216760894748e-17
"ptma",3.8843978657521e-21,1.61643952909734,0.945,0.315,9.23165996774645e-17
"egr1",4.21102047760862e-21,2.48059393620778,0.691,0.048,1.00079112670847e-16
"nr4a2",4.52421743193366e-21,2.28052692764687,0.618,0.008,1.07522551487335e-16
"mt-nd3",7.74537316986489e-21,-3.30369888362878,0,0.847,1.84076538755009e-16
"jund",1.48491601925582e-20,1.87367494443763,0.873,0.185,3.52905141136339e-16
"atp6v0e1",1.62735067810998e-20,1.41802732849049,0.582,0,3.86756162159618e-16
"mzt2b",1.62735067810998e-20,1.29998213773273,0.582,0,3.86756162159618e-16
"s100a11",2.52414467767396e-20,1.96163315661305,0.618,0.016,5.99888224095994e-16
"junb",2.58891063933457e-20,2.2235986677222,0.745,0.081,6.15280502544254e-16
"lgals1",2.60148319019622e-20,1.73522751006512,0.6,0.008,6.18268494982033e-16
"gsn",2.95644090830126e-20,1.67565893986763,0.6,0.008,7.02627746266879e-16
