"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"ckb",0,1.44937702860947,0.918,0.724,0,Inf,"Rod","ckb"
"hsp90aa1",0,1.34576456454838,0.854,0.627,0,Inf,"Rod","hsp90aa1"
"nrl",0,1.31401380964611,0.874,0.635,0,Inf,"Rod","nrl"
"0610009b22rik",0,-0.662286011999808,0,0.13,0,Inf,"Rod","0610009b22rik"
"gm17018",0,-0.683127455842886,0,0.13,0,Inf,"Rod","gm17018"
"spata1",0,-0.692967709186491,0,0.132,0,Inf,"Rod","spata1"
"ac110166.1",0,-0.696328147402887,0,0.13,0,Inf,"Rod","ac110166.1"
"whrn",0,-0.71740713236525,0,0.126,0,Inf,"Rod","whrn"
"zfp654",0,-0.733691143011129,0,0.139,0,Inf,"Rod","zfp654"
"5031425e22rik",0,-0.736407417434533,0,0.139,0,Inf,"Rod","5031425e22rik"
"sem1",0,-0.741428825280678,0,0.129,0,Inf,"Rod","sem1"
"aqp1",0,-0.744201816063982,0.001,0.138,0,Inf,"Rod","aqp1"
"zfp329",0,-0.744973662350244,0,0.137,0,Inf,"Rod","zfp329"
"bc031181",0,-0.746133490491544,0,0.147,0,Inf,"Rod","bc031181"
"3222401l13rik",0,-0.747033672379262,0,0.146,0,Inf,"Rod","3222401l13rik"
"acaa1a",0,-0.748543918846378,0,0.131,0,Inf,"Rod","acaa1a"
"tmem167",0,-0.760349034710333,0,0.142,0,Inf,"Rod","tmem167"
"d430042o09rik",0,-0.774921759593492,0,0.15,0,Inf,"Rod","d430042o09rik"
"gm19667",0,-0.798044483089459,0,0.147,0,Inf,"Rod","gm19667"
"ckmt1",0,-0.801547188396919,0,0.161,0,Inf,"Rod","ckmt1"
"d5ertd579e",0,-0.808471904158735,0,0.142,0,Inf,"Rod","d5ertd579e"
"nrd1",0,-0.815681645379086,0,0.142,0,Inf,"Rod","nrd1"
"hprt",0,-0.825715551488272,0,0.15,0,Inf,"Rod","hprt"
"rncr4",0,-0.844875064322039,0,0.147,0,Inf,"Rod","rncr4"
"trir",0,-0.846338166524293,0,0.162,0,Inf,"Rod","trir"
"trafd1",0,-0.853272923227917,0.012,0.207,0,Inf,"Rod","trafd1"
"tet3",0,-0.853640611427853,0.01,0.196,0,Inf,"Rod","tet3"
"d8ertd738e",0,-0.867282965772286,0,0.165,0,Inf,"Rod","d8ertd738e"
"cops9",0,-0.874941993202644,0,0.165,0,Inf,"Rod","cops9"
"zfp106",0,-0.877404324351166,0,0.155,0,Inf,"Rod","zfp106"
"zfp292",0,-0.893132692639822,0,0.166,0,Inf,"Rod","zfp292"
"nim1k",0,-0.895667924264835,0.008,0.216,0,Inf,"Rod","nim1k"
