"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"neat1",0,3.08639126509366,0.793,0.064,0
"mtch1",0,-1.3050538669173,0,0.459,0
"selenom",0,-1.33810766363052,0,0.48,0
"araf",0,-1.34289079694942,0.013,0.494,0
"klc3",0,-1.42461468849222,0.002,0.5,0
"pea15a",0,-1.42754324643003,0,0.5,0
"purb",0,-1.49186430206705,0.151,0.777,0
"a230057d06rik",0,-1.49671426322728,0,0.446,0
"atp5k",0,-1.51124285679062,0,0.496,0
"cers4",0,-1.51189800970687,0.071,0.674,0
"matr3",0,-1.52048617813909,0.005,0.545,0
"car10",0,-1.54255678237865,0,0.516,0
"4930447c04rik",0,-1.54674069015778,0,0.454,0
"hist3h2ba",0,-1.5497145058746,0,0.458,0
"plk5",0,-1.55588424380451,0.006,0.564,0
"sphkap",0,-1.67323521331222,0.015,0.501,0
"nedd4",0,-1.68162117510937,0.001,0.565,0
"snhg20",0,-1.69982771131805,0,0.596,0
"c130073e24rik",0,-1.74480163273818,0,0.444,0
"ftl1",0,-1.75086535485899,0,0.529,0
"rps3a1",0,-1.7607203634746,0,0.486,0
"e130218i03rik",0,-1.82312071007449,0,0.537,0
"zfp385a",0,-1.8404912093649,0,0.632,0
"selenow",0,-1.85333466628643,0,0.594,0
"mir124a-1hg",0,-1.86403515737748,0,0.597,0
"mtcl1",0,-1.88017681038564,0,0.649,0
"mt-nd6",0,-1.89050667915828,0,0.552,0
"gm4792",0,-1.91978697767996,0,0.545,0
"snhg11",0,-2.02661124545459,0,0.553,0
"car2",0,-2.03613112994905,0,0.601,0
"gpi1",0,-2.09137557615694,0,0.683,0
"lars2",0,-2.10320999340288,0.015,0.684,0
"ac149090.1",0,-2.1398147407152,0,0.754,0
"mgarp",0,-2.21653559335071,0.293,0.854,0
"pfkp",0,-2.36992058332163,0.093,0.901,0
"bc030499",0,-2.41584141410551,0,0.764,0
"ay036118",0,-2.81123501299611,0,0.897,0
"mt-nd3",0,-3.45068317372002,0,0.975,0
"mt-nd5",0,-4.53624325759003,0,0.997,0
"mt-co1",0,-4.5956155783675,0,0.999,0
"mt-nd1",0,-5.2597384982608,0,1,0
"mt-nd2",0,-5.29317803098532,0,1,0
"mt-nd4",0,-5.47046980806989,0,1,0
"malat1",0,-5.79803585480355,0,1,0
"gm42418",0,-5.85197012461411,0,1,0
"mt-cytb",0,-6.52966256228316,0,1,0
"rit2",1.21894173709743e-305,-1.23112134746706,0.001,0.439,4.90148661904248e-301
"bc005537",1.56582751172358e-305,-1.31050642875001,0,0.434,6.2963490073917e-301
"tubb5",2.72278148499375e-303,-1.34172481557341,0,0.431,1.09485766293084e-298
"elob",2.72278456184576e-303,-1.32156166401741,0,0.431,1.0948589001638e-298
"c230004f18rik",1.44940341816324e-299,-1.78229868445656,0,0.426,5.82819608477621e-295
"2010107e04rik",1.4494050517172e-299,-1.78583252889211,0,0.426,5.82820265346005e-295
"fyco1",3.49104364068485e-294,-1.27903453753957,0.036,0.544,1.40378355835578e-289
"5330434g04rik",3.84688360704624e-292,-1.24686892835489,0,0.417,1.54687036722936e-287
"rack1",2.11554348627643e-291,-1.16986263926493,0,0.416,8.50681191266614e-287
"1700020i14rik",3.14094917688965e-286,-1.1593100033329,0,0.409,1.2630070735191e-281
"bex3",3.14095268336035e-286,-1.18965508050273,0,0.409,1.26300848350603e-281
"zfp292",8.22684208946878e-282,-1.16962380317247,0,0.403,3.30809547259629e-277
"platr17",8.22687138601952e-282,-1.61364543401863,0,0.403,3.30810725303231e-277
"pgm2l1",1.53283109309579e-275,-1.25574965944233,0.023,0.479,6.16366710844749e-271
"zfp638",3.29015250285117e-275,-1.16115450221495,0,0.395,1.32300322292148e-270
"man2a2",2.05946412082996e-273,-1.29673013483812,0.058,0.575,8.28131117626934e-269
"6430548m08rik",5.14230866037607e-273,-1.14355511297965,0,0.392,2.06777373542382e-268
"selenok",7.97534084246146e-271,-1.14932850860702,0,0.389,3.20696430616218e-266
"h3f3b",6.88936477837764e-270,1.39935964370456,0.893,0.561,2.77028247103343e-265
"dnm1",7.97283139890597e-270,-1.31878616968213,0.226,0.846,3.20595523381408e-265
"zcchc18",3.15781520231263e-267,-1.10699579529471,0.001,0.389,1.26978907100193e-262
"slc6a6",2.65223963789103e-263,-1.38293801431005,0.273,0.829,1.06649208079236e-258
