"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"tf",0,5.08907268645719,0.962,0,0,Inf,"MG","tf"
"spp1",0,3.87903636429205,0.847,0.003,0,Inf,"MG","spp1"
"crabp1",0,3.86590827303114,0.876,0.028,0,Inf,"MG","crabp1"
"gpx3",0,3.73621876227463,0.869,0.052,0,Inf,"MG","gpx3"
"ftl",0,3.67200645489756,0.877,0,0,Inf,"MG","ftl"
"actg1",0,3.63915669450404,0.905,0.026,0,Inf,"MG","actg1"
"wif1",0,3.62084120667021,0.825,0,0,Inf,"MG","wif1"
"rps3a",0,3.1096108025062,0.807,0,0,Inf,"MG","rps3a"
"ca2",0,2.92640988153809,0.739,0,0,Inf,"MG","ca2"
"c1orf61",0,2.89428979157488,0.753,0,0,Inf,"MG","c1orf61"
"hist1h4c",0,2.84615890241917,0.795,0.002,0,Inf,"MG","hist1h4c"
"fabp7",0,2.82323486121699,0.733,0.002,0,Inf,"MG","fabp7"
"frzb",0,2.79473489818316,0.882,0.254,0,Inf,"MG","frzb"
"ptgds",0,2.69475156813112,0.9,0.18,0,Inf,"MG","ptgds"
"rgr",0,2.64122137210953,0.745,0.056,0,Inf,"MG","rgr"
"linc00844",0,2.48046110081385,0.647,0,0,Inf,"MG","linc00844"
"trdn",0,2.4646382162786,0.642,0,0,Inf,"MG","trdn"
"vim",0,2.40857241519929,0.968,0.564,0,Inf,"MG","vim"
"skp1",0,2.34559406057377,0.669,0,0,Inf,"MG","skp1"
"ppa1",0,2.33557430356092,0.74,0.085,0,Inf,"MG","ppa1"
"rpl13a",0,2.25004340377241,0.806,0.141,0,Inf,"MG","rpl13a"
"pebp1",0,2.24197612726632,0.822,0.184,0,Inf,"MG","pebp1"
"rpl15",0,2.02705237472347,0.786,0.177,0,Inf,"MG","rpl15"
"calm2",0,1.72915227065169,0.815,0.372,0,Inf,"MG","calm2"
"ptma",0,1.67880684673685,0.87,0.435,0,Inf,"MG","ptma"
"gapdh",0,1.62881071301289,0.957,0.663,0,Inf,"MG","gapdh"
"cirbp",0,1.56786711265042,0.805,0.308,0,Inf,"MG","cirbp"
"h3f3b",0,1.40738320175041,0.907,0.537,0,Inf,"MG","h3f3b"
"h2-k1",0,-1.09964529897703,0,0.259,0,Inf,"MG","h2-k1"
"gstt1",0,-1.12615908153425,0,0.271,0,Inf,"MG","gstt1"
"gpi1",0,-1.13713265291134,0,0.255,0,Inf,"MG","gpi1"
"d8ertd738e",0,-1.14705876011815,0,0.265,0,Inf,"MG","d8ertd738e"
"abca8b",0,-1.1671787195983,0,0.282,0,Inf,"MG","abca8b"
