"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"malat1",4.91906802764183e-11,-5.35819910809786,0,1,1.97800644459506e-06,23.7353169356496,"RGC","malat1"
"gm42418",2.07168608366584e-10,-5.94809106291578,0,0.957,8.33045691102871e-06,22.2974881210434,"RGC","gm42418"
"ay036118",1.13535535759861e-08,-2.77019635012944,0,0.826,0.000456537742843979,18.2937350516263,"RGC","ay036118"
"neat1",1.86665069210263e-08,5.23723028598652,0.889,0.087,0.000750598909801387,17.7965349927182,"RGC","neat1"
"linc00599",6.20733641849836e-08,2.66969357022675,0.815,0,0.00249603204724238,16.5949488581349,"RGC","linc00599"
"kcnq1ot1",6.45721170915787e-08,2.29057896434487,0.926,0.261,0.00259650940036947,16.5554831433037,"RGC","kcnq1ot1"
"polr2j3",1.70997770513709e-07,3.10525249280048,0.778,0,0.00687599135012674,15.5816153184603,"RGC","polr2j3"
"ftl",4.5405435768031e-07,2.52145445658944,0.741,0,0.0182579797766829,14.6050489154988,"RGC","ftl"
"linc00632",1.16378364240823e-06,2.42665096600025,0.704,0,0.0467969040448774,13.6638341001515,"RGC","linc00632"
"snhg11",1.23187397095905e-06,-3.45131096031891,0,0.652,0.0495348842462344,13.606973994385,"RGC","snhg11"
"pwar6",2.88331284654755e-06,2.18733387517326,0.667,0,0.115940892872524,12.7565706309575,"RGC","pwar6"
"mgarp",6.64093427549748e-06,-2.3259971144844,0.111,0.696,0.267038608152029,11.9222579002326,"RGC","mgarp"
"prr4",6.91461972072165e-06,2.01969898752204,0.63,0,0.278043773589938,11.8818725877478,"RGC","prr4"
"calb2",7.70425254608305e-06,-3.32582894758446,0.074,0.652,0.309795699130546,11.7737381028423,"RGC","calb2"
"gpi",1.60730572551376e-05,2.18608023096702,0.593,0,0.646313705286337,11.03836615019,"RGC","gpi"
"ankrd36c",1.60730572551376e-05,1.93536511343621,0.593,0,0.646313705286337,11.03836615019,"RGC","ankrd36c"
"btg1",1.92148274257763e-05,1.95507614554395,0.704,0.087,0.772647425617889,10.859828315212,"RGC","btg1"
"enpp5",2.71018313190681e-05,-2.31521368536772,0,0.522,1,10.5159092560124,"RGC","enpp5"
"tulp1",3.3407838841781e-05,-1.96695818050198,0.074,0.609,1,10.3067199896567,"RGC","tulp1"
"golga8b",3.62639694299584e-05,1.94667145953734,0.556,0,1,10.224685887312,"RGC","golga8b"
"linc00969",3.62639694299584e-05,1.89809623567619,0.556,0,1,10.224685887312,"RGC","linc00969"
"map4k4",3.69512930135606e-05,2.53425355119612,0.63,0.087,1,10.2059099175812,"RGC","map4k4"
"sptan1",4.14824352923144e-05,1.6579086509605,0.741,0.217,1,10.0902404662898,"RGC","sptan1"
"miat",4.58058265407018e-05,2.01915843464073,0.741,0.261,1,9.99109925788965,"RGC","miat"
"matr3",7.07347834944445e-05,-1.55971012744091,0,0.478,1,9.55657311885619,"RGC","matr3"
"scn2b",7.07347834944445e-05,-1.87956387169594,0,0.478,1,9.55657311885619,"RGC","scn2b"
"zwint",7.07347834944445e-05,-2.06072899446817,0,0.478,1,9.55657311885619,"RGC","zwint"
"rps3a1",7.07347834944445e-05,-2.07369109361812,0,0.478,1,9.55657311885619,"RGC","rps3a1"
"e130218i03rik",7.07347834944445e-05,-2.17000086157182,0,0.478,1,9.55657311885619,"RGC","e130218i03rik"
"tuba1b",7.58945617657745e-05,1.33825996950716,0.815,0.435,1,9.48616552611947,"RGC","tuba1b"
"pgp",7.59965271505573e-05,2.28828240775989,0.63,0.13,1,9.48482291410941,"RGC","pgp"
"wdr60",7.95226110073079e-05,2.155343138281,0.519,0,1,9.43946916155606,"RGC","wdr60"
"inadl",7.95226110073079e-05,2.03359173457791,0.519,0,1,9.43946916155606,"RGC","inadl"
"bod1l1",7.95226110073079e-05,2.02586589099003,0.519,0,1,9.43946916155606,"RGC","bod1l1"
"rsbn1l",7.95226110073079e-05,1.89104394406688,0.519,0,1,9.43946916155606,"RGC","rsbn1l"
"skp1",7.95226110073079e-05,1.80512782457414,0.519,0,1,9.43946916155606,"RGC","skp1"
"actg1",9.53694291253329e-05,2.18607001153453,0.556,0.043,1,9.25775248028491,"RGC","actg1"
"nova1",9.53694291253329e-05,2.07463684016261,0.556,0.043,1,9.25775248028491,"RGC","nova1"
"spsb3",9.53694291253329e-05,1.76419058281047,0.556,0.043,1,9.25775248028491,"RGC","spsb3"
"sncb",9.74747712700487e-05,-1.78241020023203,0.111,0.609,1,9.23591696964826,"RGC","sncb"
"hsp90ab1",0.000103038632813445,-1.53617484067621,0.185,0.696,1,9.18040656419931,"RGC","hsp90ab1"
"dbi",0.000138542860166489,-1.50667875827773,0.037,0.522,1,8.88433082052381,"RGC","dbi"
"mif",0.000148293956553199,-1.60800905243845,0.074,0.565,1,8.81631406114638,"RGC","mif"
"pnisr",0.000150677541850529,1.49493106664613,0.741,0.304,1,8.80036848898117,"RGC","pnisr"
"golga8a",0.000169722122727658,1.80386070175754,0.481,0,1,8.68134803047493,"RGC","golga8a"
"c1orf132",0.000169722122727658,1.65432115949206,0.481,0,1,8.68134803047493,"RGC","c1orf132"
"kiaa0895l",0.000169722122727658,1.4537202475205,0.481,0,1,8.68134803047493,"RGC","kiaa0895l"
"1700020i14rik",0.000178733691314168,-1.47623201787376,0,0.435,1,8.6296136179558,"RGC","1700020i14rik"
"ac149090.1",0.000178733691314168,-1.63895514530267,0,0.435,1,8.6296136179558,"RGC","ac149090.1"
"slc24a1",0.000178733691314168,-1.79606531370712,0,0.435,1,8.6296136179558,"RGC","slc24a1"
"selenow",0.000178733691314168,-1.88046233796499,0,0.435,1,8.6296136179558,"RGC","selenow"
"car2",0.000178733691314168,-1.88396024004654,0,0.435,1,8.6296136179558,"RGC","car2"
"ogfrl1",0.000178733691314168,-1.97404078583781,0,0.435,1,8.6296136179558,"RGC","ogfrl1"
"kcna2",0.000178733691314168,-2.05344626325001,0,0.435,1,8.6296136179558,"RGC","kcna2"
"n4bp2l2",0.000195831178811145,1.99786192170358,0.593,0.13,1,8.53825760249002,"RGC","n4bp2l2"
"hsp90aa1",0.000207519018220436,1.12971386852672,0.889,0.478,1,8.48028756841911,"RGC","hsp90aa1"
"b2m",0.000217424048976149,1.99831112347094,0.519,0.043,1,8.43366096852975,"RGC","b2m"
"abca5",0.000217424048976149,1.83731295565333,0.519,0.043,1,8.43366096852975,"RGC","abca5"
"rnpc3",0.000217424048976149,1.81424769291313,0.519,0.043,1,8.43366096852975,"RGC","rnpc3"
"acap3",0.000217424048976149,1.74823076787919,0.519,0.043,1,8.43366096852975,"RGC","acap3"
"ankrd13d",0.000254756576742784,1.723865980399,0.593,0.13,1,8.27520206973625,"RGC","ankrd13d"
"eef1a2",0.000279611664444456,-1.53156162256999,0.222,0.696,1,8.18210883014699,"RGC","eef1a2"
"tcf25",0.000328057090070507,1.08945011048336,0.815,0.522,1,8.02232290963295,"RGC","tcf25"
"gabpb1-as1",0.000353037004776524,2.16853546414753,0.444,0,1,7.94893767712994,"RGC","gabpb1-as1"
"znf91",0.000353037004776524,1.94404972112352,0.444,0,1,7.94893767712994,"RGC","znf91"
"dcdc1",0.000353037004776524,1.9130676176669,0.444,0,1,7.94893767712994,"RGC","dcdc1"
"pcsk7",0.000353037004776524,1.81708047955359,0.444,0,1,7.94893767712994,"RGC","pcsk7"
"hook2",0.000353037004776524,1.78460160909117,0.444,0,1,7.94893767712994,"RGC","hook2"
"rp11-166p13.4",0.000353037004776524,1.66729046392281,0.444,0,1,7.94893767712994,"RGC","rp11-166p13.4"
"rp11-138a9.2",0.000353037004776524,1.66318463143854,0.444,0,1,7.94893767712994,"RGC","rp11-138a9.2"
"ube2d2",0.000353037004776524,1.62667164017308,0.444,0,1,7.94893767712994,"RGC","ube2d2"
"nutm2b-as1",0.000353037004776524,1.53198285824382,0.444,0,1,7.94893767712994,"RGC","nutm2b-as1"
"gpc1",0.000353037004776524,1.47663019211439,0.444,0,1,7.94893767712994,"RGC","gpc1"
"wdr59",0.000353037004776524,1.46970292665286,0.444,0,1,7.94893767712994,"RGC","wdr59"
"znf292",0.000353037004776524,1.42822613800116,0.444,0,1,7.94893767712994,"RGC","znf292"
"jph4",0.000385191426830307,2.08444642251678,0.593,0.174,1,7.86177013469944,"RGC","jph4"
"meg3",0.000388984982799607,0.853836711416166,0.889,0.826,1,7.85196981971927,"RGC","meg3"
"bex3",0.00043811312793418,-1.29366829855143,0,0.391,1,7.73303339798238,"RGC","bex3"
"zfp385a",0.00043811312793418,-1.45301417213631,0,0.391,1,7.73303339798238,"RGC","zfp385a"
"ftl1",0.00043811312793418,-1.47154235765203,0,0.391,1,7.73303339798238,"RGC","ftl1"
"comt",0.00043811312793418,-1.47805497704779,0,0.391,1,7.73303339798238,"RGC","comt"
"scd2",0.00043811312793418,-1.49606125900233,0,0.391,1,7.73303339798238,"RGC","scd2"
"ppp1r11",0.00043811312793418,-1.51988995635874,0,0.391,1,7.73303339798238,"RGC","ppp1r11"
"pfn2",0.00043811312793418,-1.59303388882673,0,0.391,1,7.73303339798238,"RGC","pfn2"
"gpi1",0.00043811312793418,-1.66230250374561,0,0.391,1,7.73303339798238,"RGC","gpi1"
"c230004f18rik",0.00043811312793418,-1.68821469225487,0,0.391,1,7.73303339798238,"RGC","c230004f18rik"
"gaa",0.00043811312793418,-1.84860967497449,0,0.391,1,7.73303339798238,"RGC","gaa"
"pebp1",0.000440556792041678,1.39676017786387,0.63,0.174,1,7.7274711945835,"RGC","pebp1"
"gpatch2l",0.000525890705613456,1.82747183716036,0.519,0.087,1,7.55041715082149,"RGC","gpatch2l"
"ralyl",0.000526817549281538,1.94377200437715,0.556,0.13,1,7.54865627566304,"RGC","ralyl"
"ddx46",0.000546797559394841,1.59021746028869,0.593,0.13,1,7.51143191655743,"RGC","ddx46"
"cpeb4",0.000577752246268885,1.66519386348979,0.481,0.043,1,7.45636542085735,"RGC","cpeb4"
"rab3a",0.000588628928280627,-1.73411986461289,0.037,0.435,1,7.43771457576705,"RGC","rab3a"
"swi5",0.000649746649718215,-1.5722875447498,0.037,0.435,1,7.33892804071881,"RGC","swi5"
"snap25",0.000678254485628866,-1.34797656345365,0.444,0.739,1,7.29598799291394,"RGC","snap25"
"hspa1a",0.000716723935931536,2.68730050920639,0.407,0,1,7.24081981810121,"RGC","hspa1a"
"fam63b",0.000716723935931536,1.97570160892754,0.407,0,1,7.24081981810121,"RGC","fam63b"
"ftx",0.000716723935931536,1.88009061464432,0.407,0,1,7.24081981810121,"RGC","ftx"
"sat2",0.000716723935931536,1.73862102682549,0.407,0,1,7.24081981810121,"RGC","sat2"
"fosb",0.000716723935931536,1.6773938633541,0.407,0,1,7.24081981810121,"RGC","fosb"
"kiaa1109",0.000716723935931536,1.61183477454475,0.407,0,1,7.24081981810121,"RGC","kiaa1109"
"upf3a",0.000716723935931536,1.5774384507991,0.407,0,1,7.24081981810121,"RGC","upf3a"
"mllt4",0.000716723935931536,1.51811964237689,0.407,0,1,7.24081981810121,"RGC","mllt4"
"hmgxb4",0.000716723935931536,1.50212066841459,0.407,0,1,7.24081981810121,"RGC","hmgxb4"
"abca6",0.000716723935931536,1.47650741614165,0.407,0,1,7.24081981810121,"RGC","abca6"
"tpt1-as1",0.000716723935931536,1.45328645557133,0.407,0,1,7.24081981810121,"RGC","tpt1-as1"
"snhg23",0.000716723935931536,1.4353526943699,0.407,0,1,7.24081981810121,"RGC","snhg23"
"rps3a",0.000716723935931536,1.39556588606213,0.407,0,1,7.24081981810121,"RGC","rps3a"
"nrdc",0.000716723935931536,1.36223224270124,0.407,0,1,7.24081981810121,"RGC","nrdc"
"rplp2",0.000716723935931536,-1.5735319458121,0.037,0.435,1,7.24081981810121,"RGC","rplp2"
"lss",0.000774665789388611,0.967950223350818,0.519,0.043,1,7.16307886111999,"RGC","lss"
"bin1",0.000790069670922138,-1.55837171777936,0.037,0.435,1,7.14338942535113,"RGC","bin1"
"cers4",0.000790069670922138,-1.7156448750367,0.037,0.435,1,7.14338942535113,"RGC","cers4"
"kcnq2",0.000870331510450069,-1.5024797831842,0.037,0.435,1,7.04663637240109,"RGC","kcnq2"
"pdia3",0.000870331510450069,-1.5656803751366,0.037,0.435,1,7.04663637240109,"RGC","pdia3"
"ormdl1",0.00103519466492093,1.54550006444452,0.444,0.043,1,6.8731657879008,"RGC","ormdl1"
