"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"gm42418",2.04815047537956e-81,-5.44466323949331,0,1,8.23581787654873e-77,185.792455353733,"CC","gm42418"
"malat1",2.04815047537956e-81,-5.8934373458728,0,1,8.23581787654873e-77,185.792455353733,"CC","malat1"
"ay036118",8.10887766951999e-75,-2.51571090324682,0,0.943,3.26066079969068e-70,170.600922504471,"CC","ay036118"
"gnat2",1.55713267642365e-67,-2.83292751709951,0.117,0.943,6.26138620516716e-63,153.830355128519,"CC","gnat2"
"mir124a-1hg",1.05986976695345e-66,-2.42016384619016,0,0.869,4.26184231989651e-62,151.912470098396,"CC","mir124a-1hg"
"gngt2",1.31218269727366e-65,-3.27416096709218,0.143,0.937,5.27641784400711e-61,149.396339112815,"CC","gngt2"
"zfp385a",4.45016651894107e-59,-1.84549580945409,0,0.794,1.78945645893139e-54,134.359578971184,"CC","zfp385a"
"mgarp",3.61122384524664e-58,-2.08592218780482,0.056,0.874,1.45210922041213e-53,132.265888663459,"CC","mgarp"
"lars2",2.65294586704038e-57,-1.79285296603532,0.009,0.8,1.06677606259561e-52,130.271679630146,"CC","lars2"
"gm4792",7.92920200224426e-57,-1.93919808382614,0,0.771,3.18841141712244e-52,129.176797900311,"CC","gm4792"
"gpi1",2.85214402928511e-56,-1.66920912481929,0,0.766,1.14687563561584e-51,127.896694205238,"CC","gpi1"
"cst3",9.45055737423956e-56,-2.01124009913939,0.074,0.874,3.80016362575547e-51,126.698691486499,"CC","cst3"
"snhg20",1.01958488280923e-55,-1.78130041004981,0,0.76,4.0998527722642e-51,126.622784547852,"CC","snhg20"
"sphkap",2.75140878813606e-55,-1.90993743550133,0.004,0.76,1.10636898779739e-50,125.630067047573,"CC","sphkap"
"ai847159",3.62258656322535e-55,-1.93611367150412,0,0.754,1.45667828293854e-50,125.354991823755,"CC","ai847159"
"e130218i03rik",3.62258656322535e-55,-1.94967647121166,0,0.754,1.45667828293854e-50,125.354991823755,"CC","e130218i03rik"
"atp5k",4.48988007613473e-54,-1.78683123034019,0,0.743,1.80542567741453e-49,122.837769029382,"CC","atp5k"
"tulp1",1.54364532765082e-53,-1.45938596799395,0.472,0.989,6.20715222701671e-49,121.60286321354,"CC","tulp1"
"a930003a15rik",1.56634482686845e-53,-1.97382280632237,0,0.737,6.29842918332073e-49,121.588265159399,"CC","a930003a15rik"
