"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"gm42418",7.96731538649962e-113,-5.86844881403861,0,1,3.20373719006536e-108,258.116767912105,"AC","gm42418"
"malat1",6.96854296413855e-112,-6.1394357651271,0,0.994,2.80212081130975e-107,255.948124256296,"AC","malat1"
"ay036118",1.45703952496851e-103,-2.99397581247766,0,0.935,5.85890163385089e-99,236.789857923904,"AC","ay036118"
"snhg11",7.50697404370232e-101,-3.7300368071611,0,0.916,3.01862933271314e-96,230.545261931426,"AC","snhg11"
"ac149090.1",3.84814597396865e-76,-2.37566971409154,0,0.729,1.54737797759253e-71,173.64887560044,"AC","ac149090.1"
"c230004f18rik",3.84824894591067e-76,-2.69374623886812,0,0.729,1.54741938364014e-71,173.648848841953,"AC","c230004f18rik"
"lars2",7.9692754911537e-65,-2.04661259636587,0.024,0.71,3.20452536774781e-60,147.592437460441,"AC","lars2"
"neat1",5.52693490063265e-63,3.8359284981253,0.91,0.039,2.22243579289339e-58,143.35322746427,"AC","neat1"
"gpi1",1.28684674860059e-57,-1.89034118009679,0,0.574,5.17453946079784e-53,130.995155455593,"AC","gpi1"
"mir124a-1hg",1.0950187679997e-54,-1.83416467729005,0,0.548,4.40317996800358e-50,124.248823518831,"AC","mir124a-1hg"
"matr3",2.66471784631994e-53,-1.71033445580786,0.008,0.561,1.07150969318371e-48,121.056911750473,"AC","matr3"
"selenom",1.61623158946371e-52,-1.61920289671468,0,0.529,6.49902884439251e-48,119.254327575548,"AC","selenom"
"mgarp",6.96358710953325e-50,-1.90588532573459,0.229,0.871,2.80012801261441e-45,113.188559918823,"AC","mgarp"
"nedd4",3.24589116192085e-49,-1.55593555377975,0.003,0.51,1.30520529511999e-44,111.649279618085,"AC","nedd4"
"scd2",5.89558963608398e-49,-1.59873787956643,0,0.497,2.37067554856573e-44,111.052465004636,"AC","scd2"
"selenow",2.98581059638418e-48,-1.61908162903093,0,0.49,1.20062429891204e-43,109.430213197157,"AC","selenow"
"e130218i03rik",1.50313925973699e-47,-1.80193535662226,0,0.484,6.04427327732839e-43,107.813943609726,"AC","e130218i03rik"
"jph4",4.01192211247508e-47,2.55381223761227,0.798,0.116,1.61323400064736e-42,106.832228914449,"AC","jph4"
"4930447c04rik",7.52227034183524e-47,-1.40433466539636,0,0.477,3.02478012715537e-42,106.203631371164,"AC","4930447c04rik"
"nsg2",7.52227034183524e-47,-1.5488249788263,0,0.477,3.02478012715537e-42,106.203631371164,"AC","nsg2"
"pfkp",3.54312208558908e-46,-1.7468579207709,0.125,0.768,1.42472482183622e-41,104.653905994184,"AC","pfkp"
"galnt17",9.09877108754395e-45,-1.42417191963196,0,0.458,3.6587068420123e-40,101.408189825654,"AC","galnt17"
"mtdh",1.04404920040075e-42,-1.25671213218835,0,0.439,4.19822623973145e-38,96.6654672905793,"AC","mtdh"
"1700020i14rik",1.04404920040075e-42,-1.3029237320395,0,0.439,4.19822623973145e-38,96.6654672905793,"AC","1700020i14rik"
"5330434g04rik",1.04404920040075e-42,-1.42177397422995,0,0.439,4.19822623973145e-38,96.6654672905793,"AC","5330434g04rik"
"6430548m08rik",5.01485414003083e-42,-1.55893422769444,0,0.432,2.0165229982478e-37,95.0961695694986,"AC","6430548m08rik"
