"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"hla-b",8.64201277898442e-50,3.42912506088974,0.884,0,3.47503975855743e-45
"rps3a",6.36025973890305e-46,2.93861828392517,0.826,0,2.55752404361031e-41
"hla-e",6.36066011456848e-46,3.22017880520859,0.826,0,2.55768503866913e-41
"hla-a",5.65554900880819e-45,3.03096664690557,0.812,0,2.27415281193186e-40
"hla-c",4.94800453140031e-44,2.91398867920003,0.797,0,1.98964210212138e-39
"a2m",1.52110046691319e-42,3.32255422475268,0.797,0.01,6.11649708750465e-38
"ftl",3.611331305258e-42,3.00295138204849,0.768,0,1.4521524311573e-37
"fos",1.27932642759467e-38,3.42987862659498,0.841,0.076,5.14429949800092e-34
"pgam1",1.29075855273697e-38,1.9394439946408,0.725,0.005,5.19026921641063e-34
"sepw1",1.25065839504038e-37,2.41189651251454,0.696,0,5.02902247229688e-33
"slc2a3",9.37397299410889e-37,2.46014969812017,0.725,0.015,3.76936828066112e-32
"cd59",9.66355475017054e-37,2.43248113455874,0.681,0,3.88581200059108e-32
"sdpr",9.66355475017054e-37,2.33061617495883,0.681,0,3.88581200059108e-32
"skp1",9.66355475017054e-37,2.07085854560202,0.681,0,3.88581200059108e-32
"hist1h4c",3.67884934630591e-36,2.12511194715901,0.696,0.01,1.47930211064307e-31
"gnb2l1",7.35575254400002e-36,2.27170424634827,0.667,0,2.95782165546785e-31
"mt-nd1",1.13339829487195e-35,-4.52406220430351,0,1,4.55750788350959e-31
"mt-cytb",1.13339829487195e-35,-5.65648851044747,0,1,4.55750788350959e-31
"mt-nd4",1.13342705390601e-35,-4.60640910174347,0,1,4.55762352646144e-31
"gm42418",1.13342705390601e-35,-5.58370051462575,0,1,4.55762352646144e-31
"mt-co1",2.35479138629167e-35,-3.59640551975606,0,0.995,9.46885164341742e-31
"mt-nd2",2.35490987203123e-35,-4.73203251153306,0,0.995,9.46932808642479e-31
"malat1",4.87072395217734e-35,-5.58322109982074,0,0.99,1.95856680841003e-30
"slc25a6",5.51648266599684e-35,1.68743718218517,0.652,0,2.21823284482399e-30
"mt-nd5",4.19267454947884e-34,-3.49732798093192,0,0.975,1.68591636309094e-29
"abcb1",2.96878657849531e-33,1.97271381451559,0.623,0,1.19377877107875e-28
"rpl13a",1.06035325745107e-32,2.3236071876804,0.942,0.34,4.2637864835365e-28
"b2m",1.31293923463717e-32,2.11735011875577,0.986,0.67,5.27945995639954e-28
"rnase1",2.13091583821469e-32,1.86829529844409,0.609,0,8.56862567704508e-28
"c4orf3",2.13091583821469e-32,1.65264275720138,0.609,0,8.56862567704508e-28
"ndufb1",2.13091583821469e-32,1.47578848588804,0.609,0,8.56862567704508e-28
"fosb",1.06181316251658e-31,2.95288857474063,0.667,0.03,4.26965690779543e-27
"adirf",1.50759955964067e-31,2.32642852527425,0.594,0,6.06220858927111e-27
"ctd-3252c9.4",1.50768328209397e-31,1.91015978696686,0.594,0,6.06254524562806e-27
"tm4sf18",1.50768328209397e-31,1.87471004812289,0.594,0,6.06254524562806e-27
"tceb2",1.05163109011899e-30,1.70404868920824,0.58,0,4.22871377647745e-26
"rps4y1",1.05163109011899e-30,1.56210305335397,0.58,0,4.22871377647745e-26
"selm",1.05163109011899e-30,1.55770862548485,0.58,0,4.22871377647745e-26
"c12orf57",1.05163109011899e-30,1.52935207019971,0.58,0,4.22871377647745e-26
"atp5i",1.05163109011899e-30,1.31226374415238,0.58,0,4.22871377647745e-26
"wbp5",1.05163109011899e-30,1.29999885200688,0.58,0,4.22871377647745e-26
"sumo2",2.67436580635246e-30,1.75203497531441,0.623,0.02,1.07538923439239e-25
"ay036118",2.96029752913199e-30,-2.72621836832045,0,0.909,1.19036523943927e-25
"egr1",5.3062407881436e-30,2.15136844502265,0.681,0.041,2.13369248332042e-25
"sepp1",7.2323472990536e-30,1.4852385710791,0.565,0,2.90819917242244e-25
"atp6v0e1",7.2323472990536e-30,1.37642949560093,0.565,0,2.90819917242244e-25
"ube2d2",7.2323472990536e-30,1.13375994593555,0.565,0,2.90819917242244e-25
"gadd45b",1.04389535186143e-29,2.50086681874899,0.754,0.112,4.19760759937e-25
"c8orf4",4.90468277670572e-29,2.11407534226122,0.551,0,1.97222199134114e-24
"c1orf64",4.90468277670572e-29,1.55768047077056,0.551,0,1.97222199134114e-24
"ngfrap1",4.90468277670572e-29,1.54997302428506,0.551,0,1.97222199134114e-24
"gimap7",4.90468277670572e-29,1.43346776243709,0.551,0,1.97222199134114e-24
"snhg8",4.90468277670572e-29,1.40076870276986,0.551,0,1.97222199134114e-24
"c11orf96",3.28028676030463e-28,2.47466353632953,0.536,0,1.31903610918609e-23
"hes4",3.28028676030463e-28,1.4766556685074,0.536,0,1.31903610918609e-23
"ptrf",3.28028676030463e-28,1.43654186068824,0.536,0,1.31903610918609e-23
"sypl1",3.28028676030463e-28,1.41261139447608,0.536,0,1.31903610918609e-23
"tceal4",3.28028676030463e-28,1.35300500757967,0.536,0,1.31903610918609e-23
"selk",3.28028676030463e-28,1.30824326363058,0.536,0,1.31903610918609e-23
"c19orf53",3.28028676030463e-28,1.11207330666327,0.536,0,1.31903610918609e-23
"znf706",3.28028676030463e-28,1.08318009347055,0.536,0,1.31903610918609e-23
"ifi27l2",3.28028676030463e-28,1.02799640883935,0.536,0,1.31903610918609e-23
"lgals3",6.39929791180127e-28,1.52432287829254,0.594,0.02,2.57322168331441e-23
"ubc",7.3820197203857e-28,1.5954308040402,0.971,0.766,2.9683839497643e-23
"mt-nd3",8.89754205360436e-28,-2.8416076385465,0,0.863,3.57779063517485e-23
"c2cd4b",2.16389230249506e-27,1.6907386367217,0.522,0,8.70122733756289e-23
"shfm1",2.16389230249506e-27,1.46672586228387,0.522,0,8.70122733756289e-23
"pea15",2.16389230249506e-27,1.27551463227021,0.522,0,8.70122733756289e-23
"c19orf43",2.16389230249506e-27,1.22704403824699,0.522,0,8.70122733756289e-23
"qki",2.16389230249506e-27,1.14633256970112,0.522,0,8.70122733756289e-23
"cd99",2.16389230249506e-27,1.1082595778995,0.522,0,8.70122733756289e-23
"rundc3b",2.84251269467607e-27,1.19652168162142,0.536,0.005,1.14300277965619e-22
"ftl1",5.52717329080844e-27,-2.48604173727997,0,0.848,2.22253165196698e-22
"ppa1",9.91470013368775e-27,1.8089787041583,0.725,0.107,3.98680007075718e-22
"rps3a1",1.00773257478722e-26,-2.83820801212369,0,0.843,4.05219345647691e-22
"ifi6",1.4081095785471e-26,1.34724405965687,0.507,0,5.66214942629574e-22
"rp11-382a20.3",1.4081095785471e-26,1.06533240356823,0.507,0,5.66214942629574e-22
"c11orf58",1.4081095785471e-26,1.06145422530764,0.507,0,5.66214942629574e-22
"gsn",1.8585690975923e-26,1.77329078167343,0.681,0.076,7.47349219832839e-22
"gstp1",5.06927142590369e-26,1.91148327887459,0.739,0.142,2.03840473307013e-21
"frzb",9.04000530332697e-26,1.31125655918357,0.493,0,3.63507653252081e-21
"pvrl2",9.04000530332697e-26,1.24681052440672,0.493,0,3.63507653252081e-21
"serpinb1",9.04000530332697e-26,1.23530232288982,0.493,0,3.63507653252081e-21
"serpinb6",9.04000530332697e-26,1.06466004946506,0.493,0,3.63507653252081e-21
"c1orf54",9.04000530332697e-26,1.06452737575999,0.493,0,3.63507653252081e-21
"linc00657",9.04000530332697e-26,0.972062276314009,0.493,0,3.63507653252081e-21
"tgoln2",9.04000530332697e-26,0.876453544991203,0.493,0,3.63507653252081e-21
"junb",1.19260645766076e-25,2.58989466353803,0.826,0.284,4.7955898268997e-21
"mzt2b",5.72647373724725e-25,1.47028330472624,0.478,0,2.30267235448449e-20
"c14orf2",5.72647373724725e-25,1.41169018482818,0.478,0,2.30267235448449e-20
"igfbp2",5.72647373724725e-25,1.11651036612673,0.478,0,2.30267235448449e-20
"fam89a",5.72647373724725e-25,1.06538608865944,0.478,0,2.30267235448449e-20
"snhg7",5.72647373724725e-25,1.04891892071919,0.478,0,2.30267235448449e-20
"hla-f",5.72647373724725e-25,1.03751723164563,0.478,0,2.30267235448449e-20
"linc01420",5.72647373724725e-25,0.870737519883375,0.478,0,2.30267235448449e-20
"atp5o",5.72647373724725e-25,0.823166182186548,0.478,0,2.30267235448449e-20
"tubb",5.72647373724725e-25,0.784251724109303,0.478,0,2.30267235448449e-20
"atp5g2",1.40791806305154e-24,1.3034995625268,0.551,0.025,5.66137932333656e-20
"efhd1",1.45024483662516e-24,0.919433681967649,0.493,0.005,5.83157951255345e-20
"pgk1",2.50592530979736e-24,1.47180851826756,0.58,0.046,1.00765762632262e-19
"hla-drb1",3.5797091480349e-24,1.20034997030114,0.464,0,1.43943684551631e-19
"znf207",3.5797091480349e-24,1.04434391928169,0.464,0,1.43943684551631e-19
"eif3j",3.5797091480349e-24,1.03646153802591,0.464,0,1.43943684551631e-19
"c7orf50",3.5797091480349e-24,1.03190248550232,0.464,0,1.43943684551631e-19
"c9orf16",3.5797091480349e-24,0.994436516575654,0.464,0,1.43943684551631e-19
"part1",3.5797091480349e-24,0.939019080775011,0.464,0,1.43943684551631e-19
"linc00493",3.5797091480349e-24,0.929114435398599,0.464,0,1.43943684551631e-19
"fgd5-as1",3.5797091480349e-24,0.922635424172217,0.464,0,1.43943684551631e-19
"gstm3",3.5797091480349e-24,0.89148081780632,0.464,0,1.43943684551631e-19
"sep15",3.5797091480349e-24,0.804632064357759,0.464,0,1.43943684551631e-19
"myeov2",3.5797091480349e-24,0.795499414432997,0.464,0,1.43943684551631e-19
"c14orf166",3.5797091480349e-24,0.691120381532767,0.464,0,1.43943684551631e-19
"gimap4",4.83561508940857e-24,1.29934667176995,0.522,0.02,1.94444918360208e-19
"nme3",5.06080361169893e-24,0.932887158541281,0.493,0.01,2.03499974030026e-19
"hmgn2",9.16745482962266e-24,1.30530122324935,0.536,0.025,3.68632526153957e-19
"ifi16",2.20854534327283e-23,1.27266025729584,0.449,0,8.88078167983439e-19
"smoc2",2.20854534327283e-23,1.22073995583701,0.449,0,8.88078167983439e-19
"txn",2.20854534327283e-23,1.14115035881469,0.449,0,8.88078167983439e-19
"timp1",2.20854534327283e-23,1.11351081765406,0.449,0,8.88078167983439e-19
"zfas1",2.20854534327283e-23,1.05160764988496,0.449,0,8.88078167983439e-19
"ifi44l",2.20854534327283e-23,1.03692481748651,0.449,0,8.88078167983439e-19
"tmem14b",2.20854534327283e-23,1.03229076679338,0.449,0,8.88078167983439e-19
"c11orf31",2.20854534327283e-23,0.993333968920169,0.449,0,8.88078167983439e-19
"ac013461.1",2.20854534327283e-23,0.926681515507,0.449,0,8.88078167983439e-19
"clec2b",2.20854534327283e-23,0.827177667188717,0.449,0,8.88078167983439e-19
"calcoco2",2.20854534327283e-23,0.718432786851791,0.449,0,8.88078167983439e-19
"selenow",2.97707620255651e-23,-2.20876611875733,0,0.772,1.19711211181e-18
"c16orf72",1.34499316344686e-22,1.12717581496289,0.435,0,5.40835200953616e-18
"c10orf54",1.34499316344686e-22,0.967052603640366,0.435,0,5.40835200953616e-18
"c19orf66",1.34499316344686e-22,0.810476164838338,0.435,0,5.40835200953616e-18
"gltscr2",1.34499316344686e-22,0.793982229152081,0.435,0,5.40835200953616e-18
"dynlt1",1.34499316344686e-22,0.764580530144346,0.435,0,5.40835200953616e-18
"vimp",1.34499316344686e-22,0.759120796665371,0.435,0,5.40835200953616e-18
"hla-drb5",1.34499316344686e-22,0.691641700493914,0.435,0,5.40835200953616e-18
"c19orf70",1.34499316344686e-22,0.671603622630507,0.435,0,5.40835200953616e-18
"kiaa1109",1.34499316344686e-22,0.651601119175599,0.435,0,5.40835200953616e-18
"pcbd1",1.34499316344686e-22,0.628770602456506,0.435,0,5.40835200953616e-18
"socs3",2.33564614504826e-22,1.8816674258494,0.58,0.066,9.39186671385356e-18
"jun",3.07417301346683e-22,2.37753360075589,0.855,0.487,1.23615571044515e-17
"cd46",3.7059583958227e-22,1.33711653146979,0.478,0.015,1.49020293054427e-17
"hebp2",3.88124456610211e-22,1.1791190950785,0.449,0.005,1.56068725247532e-17
"actg1",4.69369545960894e-22,2.14779120758642,0.768,0.289,1.88738188126335e-17
"c10orf10",8.08624828524961e-22,1.65399894142887,0.42,0,3.25156129798172e-17
"sstr2",8.08624828524961e-22,1.04571557258225,0.42,0,3.25156129798172e-17
"hla-dpa1",8.08624828524961e-22,0.999455586144048,0.42,0,3.25156129798172e-17
"c8orf59",8.08624828524961e-22,0.970881396960076,0.42,0,3.25156129798172e-17
"wnt6",8.08624828524961e-22,0.835633464895826,0.42,0,3.25156129798172e-17
"chmp4a",8.08624828524961e-22,0.830420333689028,0.42,0,3.25156129798172e-17
"thumpd3-as1",8.08624828524961e-22,0.788717549012886,0.42,0,3.25156129798172e-17
"rtfdc1",8.08624828524961e-22,0.76563639126423,0.42,0,3.25156129798172e-17
"supt4h1",8.08624828524961e-22,0.758132626095529,0.42,0,3.25156129798172e-17
"pcat19",8.08624828524961e-22,0.747642973202411,0.42,0,3.25156129798172e-17
"znf148",8.08624828524961e-22,0.747101616332888,0.42,0,3.25156129798172e-17
"kiaa1462",8.08624828524961e-22,0.728673646287816,0.42,0,3.25156129798172e-17
"fam162b",8.08624828524961e-22,0.701340066023515,0.42,0,3.25156129798172e-17
"rab7a",8.08624828524961e-22,0.63609445349088,0.42,0,3.25156129798172e-17
