"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"gm42418",7.9162189947025e-48,-6.04669128770146,0,1,3.18319081995982e-43,108.455170771538,"HC","gm42418"
"malat1",2.61903535925336e-44,-5.90407388687619,0,0.942,1.05314030830937e-39,100.350938025252,"HC","malat1"
"neat1",1.49063166000609e-31,4.02864940287246,0.967,0.043,5.99397896805047e-27,70.9809379198022,"HC","neat1"
"ay036118",2.06662280958454e-31,-2.92292995119487,0,0.71,8.31009697962039e-27,70.6542221008264,"HC","ay036118"
"pvalb",2.16076617053624e-28,3.43712054774236,0.902,0,8.68865684834326e-24,63.7019197364498,"HC","pvalb"
"gpi1",6.45106728208114e-25,-2.38541743024246,0,0.58,2.59403866479765e-20,55.700381737642,"HC","gpi1"
"ftl1",6.45106728208114e-25,-2.60875644662386,0,0.58,2.59403866479765e-20,55.700381737642,"HC","ftl1"
"lars2",3.87895533114663e-24,-2.22190098330618,0.007,0.58,1.55976672820737e-19,53.9064763590246,"HC","lars2"
"e130218i03rik",1.52975159530183e-23,-2.54610896088102,0,0.551,6.15128413986819e-19,52.5343517726517,"HC","e130218i03rik"
"cntnap2",2.28468279933309e-23,2.54283325793514,0.843,0.058,9.18693800439831e-19,52.1332299428257,"HC","cntnap2"
"ftl",4.1063648433901e-23,2.61770416958964,0.791,0,1.65121036717559e-18,51.5469189680545,"HC","ftl"
"htra1",4.90365810354281e-23,2.16673816354218,0.856,0.101,1.9718099600156e-18,51.3694756605342,"HC","htra1"
"snhg11",7.29845405255432e-23,-3.26998021152341,0,0.536,2.93478135907262e-18,50.9717945867586,"HC","snhg11"
"ypel2",7.83198631900423e-23,2.30814815436501,0.817,0.072,3.14932001873479e-18,50.9012409804438,"HC","ypel2"
"cirbp",1.13996128505927e-21,1.68058579549899,0.902,0.174,4.58389832335183e-17,48.2232926515196,"HC","cirbp"
"jph4",1.26310855707698e-21,2.25326125247436,0.797,0.058,5.07908581886224e-17,48.120711161437,"HC","jph4"
"pebp1",1.62922630198959e-21,2.15299852807633,0.83,0.13,6.55128188293033e-17,47.8661817120997,"HC","pebp1"
"ptma",2.21375942172844e-21,2.22559991208943,0.83,0.174,8.90174801071225e-17,47.5595947867653,"HC","ptma"
"spp1",3.78641784270626e-21,2.86304426168032,0.745,0,1.52255647873061e-16,47.022866540962,"HC","spp1"
"rorb",5.10834787458755e-21,1.52755613869056,0.935,0.362,2.0541177638504e-16,46.7234109131498,"HC","rorb"
"shisa8",2.42788575313788e-20,2.52900819336648,0.725,0,9.76277140194274e-16,45.1646810416878,"HC","shisa8"
"ptn",3.37068395266792e-20,2.16548765426669,0.765,0.043,1.3553857242073e-15,44.836586182795,"HC","ptn"
"ckb",6.12843391055443e-20,1.2460656458999,0.993,0.783,2.46430455977304e-15,44.2387626220913,"HC","ckb"
"scd2",1.47687628719412e-19,-2.26032707656563,0,0.464,5.93866723843626e-15,43.3591875263622,"HC","scd2"
"btg1",1.58478421630037e-19,2.42041761042943,0.725,0.043,6.37257581216542e-15,43.2886685099611,"HC","btg1"
"onecut1",1.66909701221025e-19,2.14316507647767,0.791,0.13,6.71160599579864e-15,43.2368339979466,"HC","onecut1"
"gria4",2.59557442730991e-19,2.15211336738132,0.758,0.101,1.04370643296559e-14,42.7953089154937,"HC","gria4"
"selenow",6.51055804660244e-19,-2.09435297423685,0,0.449,2.61796049611931e-14,41.875691592896,"HC","selenow"
"mgarp",7.5029842681433e-19,-2.05470584540053,0.451,0.855,3.0170250040631e-14,41.7338159230677,"HC","mgarp"
"rp11-96l14.7",8.68731536927555e-19,2.37474286610071,0.686,0,3.49325638313939e-14,41.5872528086793,"HC","rp11-96l14.7"
"pgam1",1.96850366885364e-18,2.19251792934112,0.699,0.043,7.91555010282739e-14,40.7692579787115,"HC","pgam1"
"tubb2b",2.27719289118093e-18,2.08125195806847,0.706,0.014,9.15682033472763e-14,40.6235881775397,"HC","tubb2b"
"tulp1",2.6978102074306e-18,-2.10476660645567,0.092,0.609,1.08481646250992e-13,40.4540912642337,"HC","tulp1"
"rps3a1",2.83417078071608e-18,-2.09741470491731,0,0.435,1.13964841263374e-13,40.4047822730723,"HC","rps3a1"
"rhobtb1",3.12987616403445e-18,2.22617365266044,0.68,0.014,1.25855450431989e-13,40.3055382343297,"HC","rhobtb1"
"acsl3",5.4606902715583e-18,2.0232996513625,0.752,0.13,2.19579816509631e-13,39.7489564687644,"HC","acsl3"
"pcp4",1.29110425641694e-17,2.43241764189854,0.745,0.116,5.19165932547817e-13,38.8884487159688,"HC","pcp4"
"cxxc5",2.0680863905141e-17,1.58083724743937,0.804,0.174,8.31598218489624e-13,38.417322850215,"HC","cxxc5"
"map1b",7.58702202695454e-17,1.71346263938177,0.797,0.232,3.05081742725869e-12,37.1175074212975,"HC","map1b"
"a2m",7.76744938585549e-17,2.65561465229477,0.634,0,3.12336907254635e-12,37.0940047347784,"HC","a2m"
"nedd4",2.17056559186499e-16,-1.78601025971602,0,0.391,8.72806130144833e-12,36.066373712901,"HC","nedd4"
"cacna1c",2.2779235020142e-16,2.10687156030907,0.621,0,9.15975819394930e-12,36.018097204649,"HC","cacna1c"
"smpd3",2.89057426517638e-16,2.16294935443281,0.627,0.014,1.16232881777007e-11,35.7799062978467,"HC","smpd3"
"sept4",5.3150874084934e-16,1.11175444133097,0.954,0.551,2.13724979782928e-11,35.1708120306217,"HC","sept4"
"znf385d",1.10568131384482e-15,2.15954406765381,0.601,0,4.44605513110141e-11,34.4383146763292,"HC","znf385d"
"kif1a",1.14693150363312e-15,1.319991945307,0.824,0.246,4.61192626925912e-11,34.4016862763905,"HC","kif1a"
"sestd1",2.57967915419752e-15,2.03714389223956,0.601,0.014,1.03731478469436e-10,33.5911113625485,"HC","sestd1"
"mllt4",3.09933479276881e-15,1.97890227064522,0.588,0,1.24627351352027e-10,33.4075888894236,"HC","mllt4"
"tbc1d16",3.18547610104798e-15,2.14614743482214,0.608,0.029,1.2809117949924e-10,33.3801746347823,"HC","tbc1d16"
"cacna1h",3.6847824889709e-15,-1.68150214798092,0,0.362,1.48168788664009e-10,33.2345648970709,"HC","cacna1h"
"map7",8.3392446066897e-15,1.69387188506699,0.654,0.058,3.353293648796e-10,32.4178037573796,"HC","map7"
"nat16",2.31108516946127e-14,2.07405914863454,0.562,0,9.2931045749207e-10,31.3984741173609,"HC","nat16"
"gpi",3.77827725102865e-14,1.93690771795993,0.556,0,1.51928306541113e-09,30.9069231498686,"HC","gpi"
"ndfip1",3.91617576171885e-14,1.88691366709641,0.621,0.087,1.57473343554477e-09,30.8710756952835,"HC","ndfip1"
"hpcal1",4.17859961919177e-14,1.71748399781556,0.582,0.014,1.6802566928732e-09,30.8062151308436,"HC","hpcal1"
"ywhaq",4.65004243338717e-14,1.38771556569592,0.758,0.174,1.86982856288932e-09,30.6993149568994,"HC","ywhaq"
"adra2a",5.96860013102783e-14,-1.63772950110095,0,0.333,2.4000337986876e-09,30.4496788859227,"HC","adra2a"
"onecut2",7.81861219146791e-14,1.10904149193288,0.902,0.377,3.14394214831116e-09,30.1796842322307,"HC","onecut2"
"snap25",1.34938969870372e-13,-1.83618315604753,0.248,0.667,5.42603091745754e-09,29.6339537937233,"HC","snap25"
"meg3",1.38880828702392e-13,-1.62794481064188,0.059,0.478,5.58453700295188e-09,29.6051601769773,"HC","meg3"
"rassf8",1.44788003859857e-13,1.85746986409031,0.647,0.116,5.82207042320872e-09,29.5635057646627,"HC","rassf8"
"iqsec1",1.76100374975897e-13,1.63832277733843,0.588,0.043,7.0811721781558e-09,29.3677222500758,"HC","iqsec1"
"eif4a2",2.0869090745085e-13,1.71315232017746,0.641,0.101,8.39167007950612e-09,29.1979221493336,"HC","eif4a2"
"wnk4",2.36179574498659e-13,-1.60740659478627,0,0.319,9.49701687016557e-09,29.0741839703369,"HC","wnk4"
"whsc1l1",2.58903310219868e-13,1.92515503548028,0.529,0,1.04107610072511e-08,28.9823217225267,"HC","whsc1l1"
"vim",3.03249933004343e-13,-1.67699874668528,0.124,0.551,1.21939830560376e-08,28.824219068012,"HC","vim"
"adgrb1",3.04771346198291e-13,-1.66249299368891,0.327,0.681,1.22551606019795e-08,28.8192145840531,"HC","adgrb1"
"gas6",3.27671349803059e-13,1.37764638533945,0.719,0.159,1.31759926469308e-08,28.7467652711541,"HC","gas6"
"hmx1",3.35184285100889e-13,1.77603540289874,0.575,0.043,1.34780952881919e-08,28.724095909559,"HC","hmx1"
"kcnj6",3.39431544498508e-13,1.72676205965926,0.569,0.029,1.36488818358295e-08,28.7115041044774,"HC","kcnj6"
"sumo2",4.14616691915555e-13,1.87357770917373,0.523,0,1.66721517986164e-08,28.5114219354311,"HC","sumo2"
"rpl15",4.33615227998577e-13,1.7278560356544,0.614,0.087,1.74361019330508e-08,28.466618825479,"HC","rpl15"
"dnm1",5.96503297305197e-13,-1.61051070933551,0.176,0.609,2.39859940879393e-08,28.1476916256341,"HC","dnm1"
"skp1",6.61300579812034e-13,1.79849529474656,0.516,0,2.65915576148217e-08,28.0445679234544,"HC","skp1"
"ppp2r5e",7.54624132107318e-13,1.46236386495991,0.601,0.058,3.03441909761673e-08,27.9125566078927,"HC","ppp2r5e"
"h3f3b",8.26707335786022e-13,1.39530852290528,0.739,0.246,3.32427286792918e-08,27.8213256491145,"HC","h3f3b"
"actg1",8.3407592536373e-13,1.77503962035405,0.562,0.043,3.35390270348009e-08,27.8124519590892,"HC","actg1"
"2010107e04rik",9.24092498567876e-13,-1.66667204186593,0,0.304,3.71586834599128e-08,27.7099642216041,"HC","2010107e04rik"
"slc25a6",1.05057411269106e-12,1.81704663110888,0.51,0,4.22446356454202e-08,27.5816843271941,"HC","slc25a6"
"nucks1",1.71968559957398e-12,1.62507551092429,0.608,0.101,6.91502776444692e-08,27.0888796327568,"HC","nucks1"
"terf2ip",2.459134079505e-12,1.76712928758387,0.569,0.072,9.88842404709756e-08,26.7312118281521,"HC","terf2ip"
"bhlhe41",2.54953235948388e-12,1.72605489312551,0.569,0.072,1.02519245707206e-07,26.6951111620136,"HC","bhlhe41"
"gapdh",2.55589754599757e-12,1.169933206791,0.935,0.565,1.02775196222108e-07,26.6926176639422,"HC","gapdh"
"sema5a",2.62026524113963e-12,1.85120011028696,0.497,0,1.05363485611466e-07,26.6677455662035,"HC","sema5a"
"bnip3",2.80250272247555e-12,1.86704150138037,0.575,0.087,1.12691436973464e-07,26.6005082685195,"HC","bnip3"
"mif",3.4028221380251e-12,-1.89928877359955,0.059,0.42,1.36830880992127e-07,26.406415988004,"HC","mif"
"gng2",3.57585028198917e-12,-1.58019216925938,0,0.29,1.43788515689066e-07,26.3568181269464,"HC","gng2"
"polr2j3",4.11379014006337e-12,1.8474304540372,0.49,0,1.65419615322088e-07,26.2166763371648,"HC","polr2j3"
"vgf",4.1141018894727e-12,1.88187992841928,0.49,0,1.65432151077587e-07,26.2166005584822,"HC","vgf"
"magi1",6.21040356378631e-12,1.61592411848361,0.575,0.072,2.49726537703411e-07,25.8047952359777,"HC","magi1"
"atp6v1f",6.3760408169658e-12,1.38206807993537,0.699,0.188,2.56386977291012e-07,25.778473772804,"HC","atp6v1f"
"cdc42ep4",7.37641952230695e-12,0.996634995777031,0.863,0.348,2.96613205411485e-07,25.6327327546232,"HC","cdc42ep4"
"stk35",7.42748620638851e-12,1.43717782352763,0.588,0.058,2.98666647845088e-07,25.6258336446758,"HC","stk35"
"tnrc6b",8.32357418038244e-12,1.40738201869921,0.673,0.188,3.34699241367358e-07,25.5119293643541,"HC","tnrc6b"
"bach2",1.00258018150329e-11,1.78974378701548,0.477,0,4.03147516784287e-07,25.3258591643849,"HC","bach2"
"tgoln2",1.00258018150329e-11,1.78553056729457,0.477,0,4.03147516784287e-07,25.3258591643849,"HC","tgoln2"
"klf13",1.00819240944277e-11,1.46566225254028,0.601,0.101,4.05404249761033e-07,25.3202769891173,"HC","klf13"
"fam107b",1.04223049239133e-11,1.67542593044008,0.49,0.014,4.19091303295476e-07,25.2870729021538,"HC","fam107b"
"pgk1",1.05784035477365e-11,1.31157968788128,0.608,0.101,4.25368185058031e-07,25.2722065942926,"HC","pgk1"
"mt1",1.3692051862312e-11,-1.54917372674574,0,0.275,5.50571097435427e-07,25.0142056074857,"HC","mt1"
"nrip3",1.55622418923027e-11,1.85686482466972,0.471,0,6.25773308731383e-07,24.8861735270747,"HC","nrip3"
"znf292",1.55622418923027e-11,1.71623276194217,0.471,0,6.25773308731383e-07,24.8861735270747,"HC","znf292"
"ank2",2.20580634236225e-11,0.848972655777153,0.948,0.565,8.86976788327285e-07,24.5373428927372,"HC","ank2"
"tubb4b",2.21790543606927e-11,1.44967765082234,0.569,0.087,8.91841954897815e-07,24.5318727696901,"HC","tubb4b"
"b3gat2",2.61903366419211e-11,1.48551008674191,0.595,0.116,1.05313962670829e-06,24.3656306036572,"HC","b3gat2"
"rps6ka2",3.2767446941668e-11,1.61135076626812,0.556,0.087,1.31761180897141e-06,24.1415855646548,"HC","rps6ka2"
"col27a1",3.67597343638952e-11,-2.09300704930163,0.013,0.304,1.47814567850659e-06,24.0266180446942,"HC","col27a1"
"linc00969",3.70779751690687e-11,1.68382127762684,0.458,0,1.49094245952342e-06,24.0179979838128,"HC","linc00969"
"zeb2",4.07134544786881e-11,0.999547881480116,0.843,0.377,1.63712871804253e-06,23.9244625012366,"HC","zeb2"
"kcnj2",5.01073906033836e-11,1.49206733924222,0.549,0.072,2.01486828355266e-06,23.7168526016837,"HC","kcnj2"
"c230004f18rik",5.18726707523126e-11,-1.32660526995935,0,0.261,2.08585196362124e-06,23.682229039546,"HC","c230004f18rik"
"ac149090.1",5.18726707523126e-11,-1.3779350366178,0,0.261,2.08585196362124e-06,23.682229039546,"HC","ac149090.1"
"atp5k",5.18726707523126e-11,-1.38022490385523,0,0.261,2.08585196362124e-06,23.682229039546,"HC","atp5k"
"eef1g",5.18726707523126e-11,-1.42344393246264,0,0.261,2.08585196362124e-06,23.682229039546,"HC","eef1g"
"bex3",5.18726707523126e-11,-1.58078075800938,0,0.261,2.08585196362124e-06,23.682229039546,"HC","bex3"
"ids",5.5999540755112e-11,1.45042298840745,0.536,0.058,2.25179753330381e-06,23.6056776260286,"HC","ids"
"cmya5",5.69143021206324e-11,1.78160559246101,0.451,0,2.28858100257275e-06,23.5894744510093,"HC","cmya5"
"znf91",5.69153202180766e-11,1.51800182774192,0.451,0,2.28862194128908e-06,23.5894565629162,"HC","znf91"
"bod1l1",5.69163383320906e-11,1.58683932797162,0.451,0,2.28866288067169e-06,23.5894386748519,"HC","bod1l1"
"rab31",5.69163383320906e-11,1.56965336075724,0.451,0,2.28866288067169e-06,23.5894386748519,"HC","rab31"
"aak1",6.18059186027849e-11,1.20839933680461,0.686,0.203,2.48527779293658e-06,23.507021985779,"HC","aak1"
"tubb2a",7.15441217495647e-11,1.18568197110981,0.739,0.217,2.87686067967175e-06,23.3607067691422,"HC","tubb2a"
"h3f3a",7.97673637493218e-11,1.06386437525739,0.797,0.261,3.20752546372398e-06,23.2519066706985,"HC","h3f3a"
"hsp90aa1",1.21243084281962e-10,0.940016481890581,0.863,0.333,4.87530566206196e-06,22.8332236245874,"HC","hsp90aa1"
"gpr161",1.326636280331e-10,1.57953149686251,0.438,0,5.33453714683897e-06,22.7432043038476,"HC","gpr161"
"srsf5",1.4407181346496e-10,1.21052835302819,0.706,0.217,5.79327169123951e-06,22.6607092360466,"HC","srsf5"
