"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"ftl",8.52299899949777e-36,4.61229536182202,0.98,0,3.42718312768805e-31,80.750295073634,"M","ftl"
"hla-dra",5.55723739493883e-34,4.66419068572638,0.94,0,2.23462072887885e-29,76.5727920484304,"M","hla-dra"
"hla-a",5.55723739493883e-34,2.89921821878527,0.94,0,2.23462072887885e-29,76.5727920484304,"M","hla-a"
"hla-drb1",4.32767972416108e-33,4.09625968275862,0.92,0,1.74020329388241e-28,74.5202765308845,"M","hla-drb1"
"rps3a",4.32767972416108e-33,3.39772536964752,0.92,0,1.74020329388241e-28,74.5202765308845,"M","rps3a"
"hla-b",4.32767972416108e-33,3.16358074999214,0.92,0,1.74020329388241e-28,74.5202765308845,"M","hla-b"
"hla-dpb1",3.29098363912692e-32,3.39952415418081,0.9,0,1.32333743112933e-27,72.4915364772593,"M","hla-dpb1"
"hla-dpa1",2.44452276404913e-31,3.41627097546696,0.88,0,9.82967048651795e-27,70.4862879674683,"M","hla-dpa1"
"cd74",3.14726553063776e-31,3.67042375358484,0.98,0.085,1.26554694252475e-26,70.2336038924941,"M","cd74"
"spp1",1.77411869442973e-30,4.98438356300593,0.86,0,7.13390868217137e-26,68.5042490003764,"M","spp1"
"gnb2l1",1.77411869442973e-30,2.71196638112835,0.86,0,7.13390868217137e-26,68.5042490003764,"M","gnb2l1"
"hla-dqb1",8.72582306948973e-29,2.97083425154632,0.82,0,3.50874071447252e-24,64.6086808985761,"M","hla-dqb1"
"hla-drb5",8.72582306948973e-29,2.87891803955493,0.82,0,3.50874071447252e-24,64.6086808985761,"M","hla-drb5"
"rnaset2",8.72582306948973e-29,2.77671759035008,0.82,0,3.50874071447252e-24,64.6086808985761,"M","rnaset2"
"actg1",3.36763629464092e-28,2.39265824909819,0.88,0.034,1.35416023043806e-23,63.2581715018114,"M","actg1"
"hla-e",5.91674139814768e-28,2.77871510950168,0.8,0,2.37918088360916e-23,62.6945967459869,"M","hla-e"
"dusp1",8.00562854310641e-28,3.21524656691973,0.84,0.025,3.21914329346852e-23,62.392237741653,"M","dusp1"
